,1+2,3
Test-MAE,11975.94,15279.6
Test-MAPE,0.1452,0.185
Test-RMSE,17931.41,20739.55
Test-N-RMSE,0.0676,0.0974
Test-IQR-RMSE,0.2906,0.4115
Test-CV-RMSE,0.1968,0.229
Test-R2,0.8421,0.7155
Training-Duration,1799.832,1801.991
Test-Duration,3.19079E-05,6.00441E-05
