,location-extension
Test-MAE,16098.74
Test-MAPE,0.1844
Test-RMSE,22574.69
Test-N-RMSE,0.106
Test-IQR-RMSE,0.4479
Test-CV-RMSE,0.2493
Test-R2,0.6629
Training-Duration,63.582
Test-Duration,0.001839289
