,location-extension
CV - LinReg - Mean MAE,991606329
CV - LinReg - Mean MAPE,14109.745079958773
CV - LinReg - Mean RMSE,15741038585
CV - LinReg - Mean R2Score,-1460463016561.5981
CV - Tree - Mean MAE,15554
CV - Tree - Mean MAPE,0.1869188215858792
CV - Tree - Mean RMSE,23821
CV - Tree - Mean R2Score,0.6668
CV - RandForest - Mean MAE,12290
CV - RandForest - Mean MAPE,0.15305167266384961
CV - RandForest - Mean RMSE,18491
CV - RandForest - Mean R2Score,0.8014
CV - SVR - Mean MAE,15403
CV - SVR - Mean MAPE,0.1819226908529206
CV - SVR - Mean RMSE,22826
CV - SVR - Mean R2Score,0.6978
CV - KNN - Mean MAE,13033
CV - KNN - Mean MAPE,0.16343494961279437
CV - KNN - Mean RMSE,19386
CV - KNN - Mean R2Score,0.7817
CV - AdaBoost - Mean MAE,22255
CV - AdaBoost - Mean MAPE,0.30315160709017486
CV - AdaBoost - Mean RMSE,28501
CV - AdaBoost - Mean R2Score,0.5288
final-model,"RandomForestRegressor(criterion='poisson', max_features=15, min_samples_split=7,
                      n_estimators=187)"
Test-MAE,12490.13
Test-MAPE,0.1499
Test-RMSE,17579.51
Test-N-RMSE,0.0825
Test-IQR-RMSE,0.3488
Test-CV-RMSE,0.1941
Test-R2,0.7956
Training-Duration,1648.551
Test-Duration,4.48235e-05
