,basic-subset,location,extension,location-extension
Test-MAE,13362.79,12464.64,13085.24,11204.83
Test-MAPE,0.1585,0.1463,0.1536,0.1372
Test-RMSE,18204.58,16891.94,17680.65,15056.35
Test-N-RMSE,0.0871,0.0808,0.0846,0.072
Test-IQR-RMSE,0.356,0.3304,0.3458,0.2945
Test-CV-RMSE,0.2029,0.1883,0.1971,0.1678
Test-R2,0.7959,0.8243,0.8075,0.8604
Training-Duration,1800.567,1801.429,1800.469,1800.851
Test-Duration,2.70901e-05,2.81993e-05,2.55209e-05,2.96062e-05
