,model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,WeightedEnsemble_L2,-0.15330412229930068,-0.17506647850856824,0.15660595893859863,0.10039639472961426,14.305918455123901,0.0048923492431640625,0.0002982616424560547,0.20998239517211914,2,True,12
1,LightGBMXT,-0.15512008156732757,-0.1857436963587715,0.009582996368408203,0.004618644714355469,0.7151393890380859,0.009582996368408203,0.004618644714355469,0.7151393890380859,1,True,3
2,CatBoost,-0.1577908577459815,-0.1883238764599749,0.006537437438964844,0.003853321075439453,2.86757493019104,0.006537437438964844,0.003853321075439453,2.86757493019104,1,True,6
3,LightGBM,-0.15844462349534744,-0.18349138750040578,0.008318901062011719,0.004815816879272461,0.9951820373535156,0.008318901062011719,0.004815816879272461,0.9951820373535156,1,True,4
4,XGBoost,-0.15926350275624065,-0.18473058295109632,0.012895345687866211,0.005385160446166992,0.4720907211303711,0.012895345687866211,0.005385160446166992,0.4720907211303711,1,True,9
5,NeuralNetTorch,-0.1618063297538263,-0.1825844631770958,0.0069522857666015625,0.0053615570068359375,4.460234880447388,0.0069522857666015625,0.0053615570068359375,4.460234880447388,1,True,10
6,NeuralNetFastAI,-0.1624667341791054,-0.18848232306768886,0.020485639572143555,0.010338544845581055,2.272433280944824,0.020485639572143555,0.010338544845581055,2.272433280944824,1,True,8
7,ExtraTreesMSE,-0.16764576954295946,-0.1885223439761892,0.09354758262634277,0.0691993236541748,0.5348401069641113,0.09354758262634277,0.0691993236541748,0.5348401069641113,1,True,7
8,LightGBMLarge,-0.1727397075356321,-0.18892917792308458,0.015871763229370117,0.006529569625854492,2.9656708240509033,0.015871763229370117,0.006529569625854492,2.9656708240509033,1,True,11
9,RandomForestMSE,-0.17450672819081986,-0.19355987542472558,0.09120774269104004,0.06841182708740234,0.5110504627227783,0.09120774269104004,0.06841182708740234,0.5110504627227783,1,True,5
10,KNeighborsUnif,-0.3720776133400163,-0.40030490222798093,0.01800227165222168,0.017976999282836914,0.0038747787475585938,0.01800227165222168,0.017976999282836914,0.0038747787475585938,1,True,1
11,KNeighborsDist,-0.3810198170519171,-0.40082629412948584,0.01887798309326172,0.017571210861206055,0.005883932113647461,0.01887798309326172,0.017571210861206055,0.005883932113647461,1,True,2
