,model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,WeightedEnsemble_L2,-0.14257850186923124,-0.16625639062159964,0.25280261039733887,0.17685222625732422,11.266534328460693,0.004813194274902344,0.0003077983856201172,0.21133923530578613,2,True,12
1,LightGBMXT,-0.1459201196371928,-0.17132736713249944,0.015410423278808594,0.007606983184814453,1.1974742412567139,0.015410423278808594,0.007606983184814453,1.1974742412567139,1,True,3
2,CatBoost,-0.15002563899878255,-0.18407715849546283,0.007322549819946289,0.004065275192260742,2.9500255584716797,0.007322549819946289,0.004065275192260742,2.9500255584716797,1,True,6
3,NeuralNetTorch,-0.1511910530329923,-0.178565814624789,0.0073511600494384766,0.0057525634765625,4.995744705200195,0.0073511600494384766,0.0057525634765625,4.995744705200195,1,True,10
4,LightGBM,-0.15201387945651773,-0.1751702403115983,0.008258581161499023,0.004561424255371094,0.8961832523345947,0.008258581161499023,0.004561424255371094,0.8961832523345947,1,True,4
5,NeuralNetFastAI,-0.15310151268054145,-0.17548726740474313,0.020114898681640625,0.010842084884643555,2.3614935874938965,0.020114898681640625,0.010842084884643555,2.3614935874938965,1,True,8
6,XGBoost,-0.15324574769993746,-0.17396473321097608,0.01431727409362793,0.005901813507080078,0.5723481178283691,0.01431727409362793,0.005901813507080078,0.5723481178283691,1,True,9
7,ExtraTreesMSE,-0.15823178346439248,-0.18011789202585052,0.09331607818603516,0.07295441627502441,0.5213415622711182,0.09331607818603516,0.07295441627502441,0.5213415622711182,1,True,7
8,RandomForestMSE,-0.16274050536933335,-0.18312076601866004,0.08922100067138672,0.06892514228820801,0.5106096267700195,0.08922100067138672,0.06892514228820801,0.5106096267700195,1,True,5
9,LightGBMLarge,-0.1673130597439558,-0.1859229557676489,0.017928361892700195,0.007391452789306641,3.4207115173339844,0.017928361892700195,0.007391452789306641,3.4207115173339844,1,True,11
10,KNeighborsUnif,-0.3720776133400163,-0.40030490222798093,0.01719951629638672,0.01715230941772461,0.0038738250732421875,0.01719951629638672,0.01715230941772461,0.0038738250732421875,1,True,1
11,KNeighborsDist,-0.3810198170519171,-0.40082629412948584,0.020090579986572266,0.018186092376708984,0.004979372024536133,0.020090579986572266,0.018186092376708984,0.004979372024536133,1,True,2
