,location-extension
Test-MAE,17197.85
Test-MAPE,0.2325
Test-RMSE,24395.88
Test-N-RMSE,0.1081
Test-IQR-RMSE,0.4726
Test-CV-RMSE,0.2815
Test-R2,0.6256
Training-Duration,147.943
Test-Duration,0.0040916213
