,location-extension
Test-MAE,12171.22
Test-MAPE,0.1684
Test-RMSE,16678.95
Test-N-RMSE,0.0739
Test-IQR-RMSE,0.3231
Test-CV-RMSE,0.1925
Test-R2,0.825
Training-Duration,1800.455
Test-Duration,4.55177e-05
