,location-extension
Test-MAE,16114.88
Test-MAPE,0.2217
Test-RMSE,23102.09
Test-N-RMSE,0.1024
Test-IQR-RMSE,0.4475
Test-CV-RMSE,0.2666
Test-R2,0.6643
Training-Duration,148.787
Test-Duration,0.0027834092
