,location-extension
Test-MAE,11417.63
Test-MAPE,0.1628
Test-RMSE,15900.76
Test-N-RMSE,0.0705
Test-IQR-RMSE,0.308
Test-CV-RMSE,0.1835
Test-R2,0.841
Training-Duration,1799.809
Test-Duration,0.0018757776
