,basic-subset,location,extension,location-extension
CV - LinReg - Mean MAE,20080,22632,21099,311761388737
CV - LinReg - Mean MAPE,201.5506940922075,220.94886401241024,213.96026557727978,2794305.571271425
CV - LinReg - Mean RMSE,40627,42358,41134,5055919790511
CV - LinReg - Mean R2Score,0.523,0.4828,0.5143,-9.901792698803446e+16
CV - Tree - Mean MAE,23582,21721,22554,22242
CV - Tree - Mean MAPE,207.85501002676423,174.23444639244167,254.63587347798006,260.278261342972
CV - Tree - Mean RMSE,48645,48109,50658,47726
CV - Tree - Mean R2Score,0.3015,0.2907,0.1706,0.3208
CV - RandForest - Mean MAE,21119,19082,19493,19970
CV - RandForest - Mean MAPE,227.51351939442415,175.57435849483653,189.93226975386335,200.10953237038305
CV - RandForest - Mean RMSE,43889,42007,41625,44566
CV - RandForest - Mean R2Score,0.44,0.4874,0.5001,0.4083
CV - SVR - Mean MAE,27811,27418,25569,26572
CV - SVR - Mean MAPE,193.69576368230443,196.27017985559743,195.69664319585235,196.38954402037913
CV - SVR - Mean RMSE,49494,49532,47353,49351
CV - SVR - Mean R2Score,0.2967,0.2956,0.3613,0.2981
CV - KNN - Mean MAE,20939,20543,19869,19348
CV - KNN - Mean MAPE,190.45027562118156,186.01785692157938,183.5511396145013,185.33681966066408
CV - KNN - Mean RMSE,43649,44869,43766,41969
CV - KNN - Mean R2Score,0.4421,0.4164,0.4252,0.4864
CV - AdaBoost - Mean MAE,35322,31708,34773,29383
CV - AdaBoost - Mean MAPE,232.2074959763508,217.62664856610868,202.59017302229682,201.70030178336827
CV - AdaBoost - Mean RMSE,56051,50849,54270,49774
CV - AdaBoost - Mean R2Score,0.0538,0.2327,0.1016,0.2793
final-model,"KNeighborsRegressor(n_neighbors=10, p=3)","DecisionTreeRegressor(criterion='poisson', max_depth=5)","KNeighborsRegressor(n_neighbors=10, p=1)","KNeighborsRegressor(n_neighbors=10, p=3)"
Test-MAE,16024.09,20056.39,14039.5,14002.21
Test-MAPE,0.2128,0.2594,0.1895,0.1847
Test-RMSE,24370.52,28155.17,20144.01,20555.6
Test-N-RMSE,0.076,0.0878,0.0628,0.0641
Test-IQR-RMSE,0.4659,0.5383,0.3851,0.393
Test-CV-RMSE,0.2798,0.3233,0.2313,0.236
Test-R2,0.6781,0.5704,0.7801,0.771
Training-Duration,13.197,67.412,21.795,65.777
Test-Duration,4.10905e-05,4.785e-07,1.5992e-05,0.0001560441
