,basic-subset,location,extension,location-extension
Test-MAE,14712.37,13383.24,12619.09,12121.46
Test-MAPE,0.2007,0.1843,0.174,0.1733
Test-RMSE,21164.28,21737.85,18459.41,18847.39
Test-N-RMSE,0.066,0.0678,0.0575,0.0588
Test-IQR-RMSE,0.4046,0.4156,0.3529,0.3603
Test-CV-RMSE,0.243,0.2496,0.212,0.2164
Test-R2,0.7572,0.7439,0.8153,0.8075
Training-Duration,2026.044,2186.978,1881.604,1851.784
Test-Duration,0.0008115107,0.0007568818,0.000892373,0.0006867018
