,basic-subset,location,extension,location-extension
Test-MAE,80992.43,81032.2,81024.66,81045.68
Test-MAPE,29.1156,29.116,29.1164,29.1167
Test-RMSE,92008.73,92057.21,92025.0,92050.85
Test-N-RMSE,0.2595,0.2597,0.2596,0.2597
Test-IQR-RMSE,1.9701,1.9711,1.9704,1.971
Test-CV-RMSE,1.0255,1.026,1.0256,1.0259
Test-R2,-2.9371,-2.9413,-2.9385,-2.9407
Training-Duration,9.113,12.168,10.255,16.136
Test-Duration,4.82112e-05,5.07334e-05,5.10199e-05,5.50412e-05
