,model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,XGBoost,-29.116715308766107,-25.447278946661978,0.010980844497680664,0.005095243453979492,0.33475422859191895,0.010980844497680664,0.005095243453979492,0.33475422859191895,1,True,9
1,WeightedEnsemble_L2,-29.116715308766107,-25.447278946661978,0.012197732925415039,0.005391359329223633,0.5468335151672363,0.001216888427734375,0.0002961158752441406,0.21207928657531738,2,True,12
2,KNeighborsUnif,-228.7736800592717,-208.0432225863107,0.017246007919311523,0.0178835391998291,0.003954648971557617,0.017246007919311523,0.0178835391998291,0.003954648971557617,1,True,1
3,KNeighborsDist,-278.02985653696487,-215.35116017336378,0.019267559051513672,0.0180051326751709,0.006010293960571289,0.019267559051513672,0.0180051326751709,0.006010293960571289,1,True,2
4,LightGBMXT,-317.266966056761,-186.07062281001967,0.004964590072631836,0.0032334327697753906,0.4069831371307373,0.004964590072631836,0.0032334327697753906,0.4069831371307373,1,True,3
5,CatBoost,-318.9231915520645,-221.4537997585651,0.006794929504394531,0.004122257232666016,2.9848134517669678,0.006794929504394531,0.004122257232666016,2.9848134517669678,1,True,6
6,LightGBM,-320.54653246489016,-190.9886911221935,0.003591299057006836,0.003107786178588867,0.5250434875488281,0.003591299057006836,0.003107786178588867,0.5250434875488281,1,True,4
7,LightGBMLarge,-326.67984211278963,-189.53438119212427,0.0038869380950927734,0.0033197402954101562,1.3728044033050537,0.0038869380950927734,0.0033197402954101562,1.3728044033050537,1,True,11
8,RandomForestMSE,-344.8062312805871,-238.24889841383506,0.08648061752319336,0.06556892395019531,0.5074772834777832,0.08648061752319336,0.06556892395019531,0.5074772834777832,1,True,5
9,ExtraTreesMSE,-395.6215530551332,-228.12864485714627,0.09317946434020996,0.07003664970397949,0.52630615234375,0.09317946434020996,0.07003664970397949,0.52630615234375,1,True,7
10,NeuralNetFastAI,-407.9278364481532,-233.85225746087835,0.018549680709838867,0.010736227035522461,2.2844295501708984,0.018549680709838867,0.010736227035522461,2.2844295501708984,1,True,8
11,NeuralNetTorch,-417.3107396304245,-264.6362066462373,0.007485628128051758,0.0058324337005615234,6.546169281005859,0.007485628128051758,0.0058324337005615234,6.546169281005859,1,True,10
