,basic-subset,location,extension,location-extension
CV - LinReg - Mean MAE,19702,22106,20520,1362362648445
CV - LinReg - Mean MAPE,200.49721970793547,229.00589664224063,207.9083105865829,19385562.65428311
CV - LinReg - Mean RMSE,39830,41616,40511,22051765619941
CV - LinReg - Mean R2Score,0.5343,0.4918,0.5195,-8.28008899330144e+17
CV - Tree - Mean MAE,23634,21774,22227,21465
CV - Tree - Mean MAPE,191.33577376904896,172.10233939071466,189.53599673606973,209.13506239030366
CV - Tree - Mean RMSE,53226,45779,50143,44848
CV - Tree - Mean R2Score,0.0715,0.3766,0.2248,0.404
CV - RandForest - Mean MAE,19625,19929,18653,17435
CV - RandForest - Mean MAPE,214.33327123641834,176.2466712425096,189.19848158834796,199.106067945262
CV - RandForest - Mean RMSE,41688,42787,43247,39523
CV - RandForest - Mean R2Score,0.4883,0.454,0.4398,0.5439
CV - SVR - Mean MAE,27141,27972,25772,26222
CV - SVR - Mean MAPE,193.87138146670588,196.1128843432392,193.2498821284646,196.78964433734114
CV - SVR - Mean RMSE,49546,50793,48426,49514
CV - SVR - Mean R2Score,0.2665,0.2355,0.2971,0.27
CV - KNN - Mean MAE,21202,20123,19532,19123
CV - KNN - Mean MAPE,176.70675370361215,168.92959951198958,178.08774393096357,183.95398588837872
CV - KNN - Mean RMSE,46676,44552,43029,41198
CV - KNN - Mean R2Score,0.3467,0.3957,0.4549,0.4966
CV - AdaBoost - Mean MAE,31981,30640,32711,36990
CV - AdaBoost - Mean MAPE,233.87965896840188,242.50618703681636,246.0291022429379,236.46430969644015
CV - AdaBoost - Mean RMSE,51739,50653,56257,55340
CV - AdaBoost - Mean R2Score,0.1851,0.2154,0.0407,0.0652
final-model,"KNeighborsRegressor(n_neighbors=10, p=1)","KNeighborsRegressor(n_neighbors=8, p=3)","KNeighborsRegressor(n_neighbors=10, p=1)","KNeighborsRegressor(n_neighbors=10, p=3)"
Test-MAE,18549.37,18262.42,16650.14,16006.47
Test-MAPE,0.1878,0.1902,0.1754,0.1689
Test-RMSE,36281.27,36750.9,34177.79,33374.85
Test-N-RMSE,0.0659,0.0668,0.0621,0.0606
Test-IQR-RMSE,0.5782,0.5857,0.5447,0.5319
Test-CV-RMSE,0.3702,0.375,0.3487,0.3405
Test-R2,0.575,0.5639,0.6228,0.6404
Training-Duration,9.944,29.64,34.2,62.28
Test-Duration,1.00054e-05,0.000107664,1.86481e-05,0.0001969942
