,basic-subset,location,extension,location-extension
Test-MAE,23615.76,35139.81,36775.57,34697.42
Test-MAPE,0.2602,0.3893,0.3807,0.3911
Test-RMSE,50167.48,52724.57,60703.33,57051.09
Test-N-RMSE,0.0911,0.0958,0.1103,0.1036
Test-IQR-RMSE,0.7995,0.8402,0.9674,0.9092
Test-CV-RMSE,0.5118,0.5379,0.6193,0.5821
Test-R2,0.1874,0.1024,-0.1898,-0.0509
Training-Duration,1800.11,1800.03,1800.039,1799.924
Test-Duration,1.82545e-05,1.99561e-05,1.98965e-05,2.28506e-05
