,basic-subset,extension,location,extension-location
CV - LinReg - Mean MAE,16616,17696,19231,17283
CV - LinReg - Mean MAPE,0.23530209023438275,0.2555177056453077,0.27754826178679926,0.2546857613061199
CV - LinReg - Mean RMSE,24611,26088,27320,25153
CV - LinReg - Mean R2Score,0.7223,0.6903,0.6609,0.7122
CV - Tree - Mean MAE,17730,17393,16965,16467
CV - Tree - Mean MAPE,0.251529534182847,0.25124117248731415,0.24174069770132753,0.23538690252114042
CV - Tree - Mean RMSE,26979,26542,26145,25484
CV - Tree - Mean R2Score,0.6659,0.6764,0.6878,0.7031
CV - RandForest - Mean MAE,15506,14330,13766,13293
CV - RandForest - Mean MAPE,0.22469405926138614,0.21904376542816614,0.20652720749197276,0.20195966833752105
CV - RandForest - Mean RMSE,24164,22123,21365,20665
CV - RandForest - Mean R2Score,0.7325,0.776,0.791,0.8055
CV - SVR - Mean MAE,19098,17526,18638,18249
CV - SVR - Mean MAPE,0.2530341087047257,0.23330897744920293,0.2496147431900569,0.24256046558731695
CV - SVR - Mean RMSE,29501,27979,29055,28752
CV - SVR - Mean R2Score,0.606,0.6451,0.6175,0.6181
CV - KNN - Mean MAE,16016,15002,14712,14283
CV - KNN - Mean MAPE,0.23470649791258474,0.2260082943638558,0.2208977847815247,0.21650210045066212
CV - KNN - Mean RMSE,24465,22780,23096,22004
CV - KNN - Mean R2Score,0.726,0.763,0.7565,0.7783
CV - AdaBoost - Mean MAE,24389,23299,23359,23369
CV - AdaBoost - Mean MAPE,0.3661024376574332,0.3453333175849345,0.3474852829146443,0.34310750276688323
CV - AdaBoost - Mean RMSE,33085,31859,31797,32126
CV - AdaBoost - Mean R2Score,0.502,0.5385,0.5389,0.5307
final-model,"RandomForestRegressor(criterion='absolute_error', max_depth=10, max_features=10,
                      min_samples_split=5, n_estimators=197)","RandomForestRegressor(max_depth=20, max_features=4, min_samples_split=10,
                      n_estimators=95)","RandomForestRegressor(max_features=15, min_samples_split=3, n_estimators=168)","RandomForestRegressor(bootstrap=False, max_features=18, min_samples_split=10,
                      n_estimators=142)"
Test-MAE,14035.14,13326.85,12351.81,11920.17
Test-MAPE,0.1661,0.1651,0.1515,0.1479
Test-RMSE,21178.99,19602.14,18596.14,17617.97
Test-N-RMSE,0.0799,0.0739,0.0701,0.0665
Test-IQR-RMSE,0.3433,0.3177,0.3014,0.2855
Test-CV-RMSE,0.2325,0.2152,0.2041,0.1934
Test-R2,0.7797,0.8113,0.8302,0.8476
Training-Duration,382.681,784.177,887.367,1163.334
Test-Duration,3.64231e-05,1.98649e-05,4.79836e-05,3.57964e-05
