,basic-subset,extension,location,extension-location
Test-MAE,17092.54,15681.91,17636.17,16588.23
Test-MAPE,0.2044,0.1895,0.22,0.2088
Test-RMSE,26034.66,24112.33,26639.56,25798.42
Test-N-RMSE,0.0982,0.091,0.1005,0.0973
Test-IQR-RMSE,0.422,0.3908,0.4318,0.4181
Test-CV-RMSE,0.2858,0.2647,0.2924,0.2832
Test-R2,0.6672,0.7145,0.6515,0.6732
Training-Duration,65.186,65.761,65.817,66.055
Test-Duration,0.0014525222,0.00160375,0.0016279114,0.0017521521
