,basic-subset,extension,location,extension-location
CV - LinReg - Mean MAE,16616,17696,19231,17283
CV - LinReg - Mean MAPE,0.23530209023438275,0.2555177056453077,0.27754826178679926,0.2546857613061199
CV - LinReg - Mean RMSE,24611,26088,27320,25153
CV - LinReg - Mean R2Score,0.7223,0.6903,0.6609,0.7122
CV - Tree - Mean MAE,18000,17448,16953,16868
CV - Tree - Mean MAPE,0.25297766501787067,0.2559877086598944,0.23996057271070023,0.23868946930013615
CV - Tree - Mean RMSE,27008,26970,26052,26081
CV - Tree - Mean R2Score,0.6656,0.66,0.6884,0.6893
CV - RandForest - Mean MAE,15361,14575,13839,13262
CV - RandForest - Mean MAPE,0.22319508375081593,0.21804391182230343,0.20774709277788647,0.20330927088527298
CV - RandForest - Mean RMSE,23844,22499,21537,20737
CV - RandForest - Mean R2Score,0.7394,0.7688,0.788,0.8041
CV - SVR - Mean MAE,18975,17575,19108,17082
CV - SVR - Mean MAPE,0.25158218027321083,0.23589130595350566,0.2525431128426918,0.23535224378990965
CV - SVR - Mean RMSE,29470,27699,29670,27239
CV - SVR - Mean R2Score,0.6068,0.6523,0.5997,0.6627
CV - KNN - Mean MAE,16099,15012,14765,14220
CV - KNN - Mean MAPE,0.2356604691047915,0.22601199154056748,0.22119173822793928,0.21564498168000568
CV - KNN - Mean RMSE,24553,22842,23085,22013
CV - KNN - Mean R2Score,0.7241,0.7617,0.7567,0.7781
CV - AdaBoost - Mean MAE,24372,24369,23994,23415
CV - AdaBoost - Mean MAPE,0.3582394820792223,0.36231610119741864,0.3632796510029964,0.3566852841531509
CV - AdaBoost - Mean RMSE,32997,32951,31875,31352
CV - AdaBoost - Mean R2Score,0.5024,0.5076,0.5363,0.5512
final-model,"RandomForestRegressor(criterion='absolute_error', max_depth=10, max_features=10,
                      min_samples_split=5, n_estimators=197)","RandomForestRegressor(max_features=8, min_samples_split=9, n_estimators=46)","RandomForestRegressor(max_features=15, min_samples_split=3, n_estimators=168)","RandomForestRegressor(bootstrap=False, criterion='poisson', max_depth=20,
                      max_features=23, min_samples_split=9, n_estimators=54)"
Test-MAE,14083.75,13393.57,12459.68,12210.55
Test-MAPE,0.1662,0.1635,0.1524,0.1502
Test-RMSE,21271.88,19594.87,18670.35,18045.67
Test-N-RMSE,0.0802,0.0739,0.0704,0.0681
Test-IQR-RMSE,0.3448,0.3176,0.3026,0.2925
Test-CV-RMSE,0.2335,0.2151,0.205,0.1981
Test-R2,0.7778,0.8115,0.8288,0.8401
Training-Duration,384.853,785.447,873.12,1151.234
Test-Duration,3.62175e-05,1.01996e-05,4.81311e-05,1.37947e-05
