,basic-subset,extension,location,extension-location
Test-MAE,12674.7,12022.94,11802.28,11367.63
Test-MAPE,0.1513,0.1433,0.1412,0.1391
Test-RMSE,18191.26,17127.61,17430.47,16380.86
Test-N-RMSE,0.0982,0.0925,0.0941,0.0884
Test-IQR-RMSE,0.3504,0.3299,0.3357,0.3155
Test-CV-RMSE,0.2036,0.1917,0.1951,0.1833
Test-R2,0.7896,0.8135,0.8068,0.8294
Training-Duration,13.59,14.593,16.011,18.573
Test-Duration,0.0004363288,0.0004516553,0.0008511552,0.000915075
