,basic-subset,extension,location,extension-location
CV - LinReg - Mean MAE,15304,15859,17032,5620181007369
CV - LinReg - Mean MAPE,0.19401395128891888,0.206968121989971,0.22541401565342914,79970702.15956871
CV - LinReg - Mean RMSE,21814,22108,22916,89570945826450
CV - LinReg - Mean R2Score,0.7087,0.7023,0.6806,-4.5994498554627334e+19
CV - Tree - Mean MAE,16378,16010,15378,15136
CV - Tree - Mean MAPE,0.20588745302150172,0.20121400580194218,0.18623248184576333,0.18494140442237003
CV - Tree - Mean RMSE,24310,24026,22998,22864
CV - Tree - Mean R2Score,0.637,0.6459,0.6735,0.6778
CV - RandForest - Mean MAE,14213,13373,12729,11920
CV - RandForest - Mean MAPE,0.18004002262866403,0.172201749182297,0.16453150312702575,0.15605317534444868
CV - RandForest - Mean RMSE,20773,19493,18952,17887
CV - RandForest - Mean R2Score,0.7362,0.7674,0.7798,0.8034
CV - SVR - Mean MAE,16320,16028,16843,15447
CV - SVR - Mean MAPE,0.19612853796928673,0.196016210823355,0.20577731154333848,0.19173679654918835
CV - SVR - Mean RMSE,24264,23386,24229,22651
CV - SVR - Mean R2Score,0.6434,0.668,0.644,0.6885
CV - KNN - Mean MAE,14655,13841,13432,12961
CV - KNN - Mean MAPE,0.18675478638296447,0.17910435248846562,0.17421673000371046,0.16895440009668655
CV - KNN - Mean RMSE,21183,20425,19693,19069
CV - KNN - Mean R2Score,0.7258,0.745,0.7633,0.7777
CV - AdaBoost - Mean MAE,21236,21119,21412,21321
CV - AdaBoost - Mean MAPE,0.3012491024587761,0.2973540254572035,0.299821089112975,0.30440888549669953
CV - AdaBoost - Mean RMSE,27448,27328,27528,27248
CV - AdaBoost - Mean R2Score,0.538,0.5443,0.5386,0.5479
final-model,"RandomForestRegressor(criterion='absolute_error', max_depth=15, max_features=6,
                      min_samples_split=9, n_estimators=78)","RandomForestRegressor(max_features=8, min_samples_split=9, n_estimators=46)","RandomForestRegressor(max_features=15, min_samples_split=3, n_estimators=168)","RandomForestRegressor(criterion='poisson', max_features=15, min_samples_split=7,
                      n_estimators=187)"
Test-MAE,13112.05,12724.01,11916.12,11301.51
Test-MAPE,0.1644,0.1619,0.1483,0.141
Test-RMSE,18587.7,17951.4,17510.28,15978.68
Test-N-RMSE,0.1003,0.0969,0.0945,0.0863
Test-IQR-RMSE,0.358,0.3457,0.3373,0.3078
Test-CV-RMSE,0.208,0.2009,0.1959,0.1788
Test-R2,0.7803,0.7951,0.8051,0.8377
Training-Duration,351.648,735.987,833.102,1637.009
Test-Duration,1.7019e-05,1.03205e-05,4.86763e-05,4.47897e-05
