,extension,XE,location,working_hours,price,const_year
185,M,0,RO,4600,119000,2016
186,M,0,SK,9300,104000,2016
187,M,0,DE,9990,89999,2015
188,M,1,DE,6773,129900,2017
189,M,1,DE,7967,117900,2018
190,M,1,DE,7982,127900,2018
192,K,0,FI,17900,68000,2011
193,M,1,IT,10800,183000,2017
194,M,1,IT,10678,135000,2016
195,M,0,BE,5751,178000,2017
196,M,1,DE,10880,99000,2016
197,M,0,DE,7924,90000,2016
198,K,0,DE,13710,66000,2014
199,M,0,UA,10500,91500,2016
201,M,1,ES,9100,113000,2014
202,M,0,DE,6051,139000,2017
203,H,0,DE,9793,89950,2008
204,K,0,DE,5349,135000,2012
205,M,1,DE,12334,85000,2015
206,G,0,DE,12500,59850,2003
207,H,0,TR,31500,75000,2010
208,K,0,SK,7500,114000,2014
209,H,0,DE,7925,69850,2006
210,M,1,GR,6322,140000,2015
211,M,0,GE,37700,49096,2013
213,M,0,ES,6174,135000,2015
214,M,0,ES,10657,94000,2015
215,M,0,FR,8571,115000,2014
217,M,0,NL,7155,92800,2015
218,M,0,NL,6460,145000,2018
219,M,0,NL,8542,119000,2017
220,M,0,NL,11284,79900,2014
221,M,0,DE,4610,149000,2017
222,K,0,DE,16868,59000,2014
223,G,0,DE,9967,55900,2013
224,K,0,FR,9101,85000,2011
225,M,0,PL,10674,87437,2015
226,K,0,ES,11113,79900,2013
227,M,0,ES,13380,120000,2016
228,M,0,PL,8884,108245,2016
229,K,0,IE,13421,80000,2012
230,M,0,PL,710,157165,2017
231,M,0,ES,14791,97500,2016
232,K,0,FR,10134,85000,2012
233,K,0,PL,13325,78000,2013
234,M,0,ES,7877,151500,2015
235,M,0,PT,8323,148000,2014
237,M,0,GR,9882,147000,2018
238,H,0,ES,7025,75000,2007
239,K,0,IT,14000,65000,2012
240,M,0,BE,4409,215000,2019
241,M,0,NL,7400,139000,2016
242,K,0,NL,12600,65000,2012
243,K,0,NL,12845,58500,2011
244,K,0,DE,12200,66500,2014
245,M,0,NL,5200,155000,2015
246,M,0,PL,6137,140000,2017
247,M,1,FR,7662,180000,2016
248,M,0,PL,7410,182000,2017
249,K,0,FR,5440,150000,2014
250,K,1,FR,7834,165000,2014
251,M,0,FR,9675,155000,2016
252,K,0,FR,12283,110000,2011
253,K,0,PL,13567,64000,2012
254,K,0,PL,11500,65000,2012
255,M,0,BE,1370,245000,2019
256,M,1,LU,11074,85000,2015
257,K,0,DE,12133,72500,2012
258,M,1,DE,3500,168000,2017
259,M,0,BE,10558,69500,2016
260,K,0,DE,11654,69000,2012
261,M,0,BE,1782,209000,2019
262,K,0,NL,14179,56800,2013
263,M,1,DE,9943,94000,2015
264,M,1,DE,8967,121800,2016
265,M,0,DE,10995,77000,2015
266,M,1,DE,8449,126000,2017
267,M,0,NL,9629,81800,2015
268,K,0,FR,10700,89000,2013
269,M,1,DE,10235,115000,2014
270,M,1,DE,6350,118000,2016
271,M,1,DE,8150,84500,2015
272,K,0,NL,6612,74500,2013
273,M,0,BE,8951,99000,2014
274,K,0,CH,10867,61900,2012
276,M,0,IT,10539,183000,2017
278,M,0,IT,8070,140000,2017
279,K,0,FI,19902,75000,2012
280,M,0,PT,12900,84500,2014
281,M,0,IT,13164,89000,2014
282,K,0,ES,8000,89000,2013
283,M,0,ES,10000,95000,2014
284,M,0,PL,1300,220584,2018
285,K,0,PL,14390,74600,2012
286,K,0,FR,15500,50000,2008
287,K,0,PT,11400,163000,2013
288,K,0,FR,9283,78000,2012
289,K,0,NL,10158,64800,2014
290,K,0,BE,9924,92000,2011
291,M,1,NL,12055,82500,2015
293,H,0,TR,21000,100000,2014
294,M,0,FR,9750,113000,2015
295,K,0,BE,17700,57000,2013
296,H,0,TR,11300,60000,2011
297,G,0,DE,11014,56950,2005
298,M,0,BE,7949,119000,2014
299,K,0,NL,14847,59800,2013
300,M,0,FR,1812,250000,2019
301,K,0,DE,11,69000,2011
302,M,0,DE,6,139000,2017
303,M,0,DE,5,259500,2020
304,L,0,UA,50,255000,2017
305,K ,0,UK,9,70278,2014
306,M,0,DE,5,259500,2016
307,M,0,NL,6,145000,2018
308,M,0,DE,4,149000,2017
309,K,1,PT,11,163000,2013
310,M,1,ES,7,151500,2015
311,K,0,FR,12,110000,2011
312,M,0,UK,9,98940,2016
313,K,0,FR,5,150000,2014
314,K,0,UK,10,69840,2014
315,K,0,FR,10,85000,2012
316,M,0,PL,7,182000,2017
317,M,1,FR,7,180000,2016
318,M,0,PT,8,148000,2014
319,M,0,BE,4,215000,2019
320,M,0,FR,1,250000,2019
321,M,0,PT,7,148500,2016
322,M,0,BE,1,245000,2019
323,M,0,FR,9,155000,2016
324,K,1,FR,7,165000,2014
325,M,1,DE,8,126000,2017
326,M,1,DE,8,121800,2016
327,M,1,DE,9,94000,2015
328,M,1,DE,10,115000,2014
