,working_hours,location,model,extension,const_year,price
172,4114,PL,308,E2,2015,44603
173,8600,SE,308,D,2012,46826
174,2851,PL,308,E2,2016,50219
175,4900,UA,308,C,2007,28500
176,785,DE,308,E2,2017,74500
177,1625,GE,308,D,2009,54663
178,9035,NO,308,D,2010,48067
179,3540,FR,308,E2,2016,61000
180,7000,PL,308,D,2010,33180
181,4724,LV,308,E2,2016,49000
182,4000,DE,308,E,2012,42000
183,1754,PL,308,,2019,78425
184,7698,FI,308,D,2011,43000
185,8110,FI,308,D,2011,52900
186,3250,FR,308,E2,2015,51900
187,1646,IT,308,E2,2017,59000
188,4134,FI,308,E2,2014,59900
189,7700,SE,308,E,2013,46664
190,5338,FI,308,E2,2017,58500
191,1450,BE,308,E2,2017,52450
192,1403,PL,308,E2,2018,56000
193,5664,LT,308,E,2013,39900
194,3500,DE,308,E2,2017,49900
195,1600,PL,308,E2,2017,53150
196,1427,LT,308,E2,2019,69000
197,7681,UA,308,E,2013,50900
198,4430,FR,308,E,2012,41500
199,4484,FR,308,D,2012,38000
200,2580,NL,308,E2,2016,52500
201,310,PL,308,E2,2018,66000
202,1737,PL,308,E2,2018,63119
203,2210,BE,308,E2,2018,67000
204,2281,FR,308,E2,2016,65000
205,2525,DE,308,E,2016,59000
206,4393,ES,308,E,2012,42500
207,1287,FR,308,E2,2017,68000
208,5336,ES,308,D,2011,44500
209,1829,FR,308,E2,2018,72000
210,1,FI,308,E2,2015,49700
211,7,DE,308,E2,2020,74500
212,7,DE,308,E2,2018,74500
213,29,PL,308,E2,2018,54210
214,5000,GB,320,,2018,129823
215,7340,RU,320,,2018,150972
216,8906,NO,320,E,2012,78954
217,6070,NL,320,D2,2018,99000
218,550,DE,320,NG,2019,87000
219,9644,NL,320,D,2007,42500
220,7486,NL,320,D,2010,63900
221,6971,DE,320,E,2013,71500
222,12609,NL,320,D,2010,58900
223,6000,NO,320,D,2011,70874
224,5703,NL,320,F,2017,100000
225,10625,SE,320,E,2012,86064
226,10535,TR,320,D,2013,74250
227,2700,NL,320,NG,2020,97500
228,2542,NL,320,NG,2019,97500
229,12000,PL,320,D,2008,21500
230,8600,LV,320,E,2015,83500
231,7740,NL,320,D,2010,61900
232,6000,IT,320,C,2005,48000
233,4980,PL,320,E,2014,88000
234,9508,DE,320,E,2013,68500
235,7134,DE,320,E,2012,68900
236,1302,AT,320,NG,2019,125900
237,10000,DE,320,E,2012,64900
238,8111,BG,320,D,2010,58900
239,9150,DE,320,E,2012,69500
240,7735,NO,320,E,2015,98770
241,13073,NL,320,C,2006,41000
242,3100,BY,320,NG,2020,115000
243,8750,NO,320,E,2014,86780
244,9700,GB,320,D,2007,49453
245,13600,ES,320,D,2010,56000
246,715,BE,320,D3,2020,89000
247,4607,GB,320,,2018,107248
248,11695,GB,320,D,2011,51192
249,9344,NL,320,C,2005,48500
250,12000,GB,320,D,2007,45765
251,8258,FR,320,D,2011,52000
252,6875,BE,320,E,2015,79500
253,1737,DE,320,NG,2020,165000
254,9300,IE,320,E,2013,66500
255,4355,AT,320,NG,2018,121500
256,7600,NO,320,E,2015,99430
257,9377,PL,320,E,2015,112100
258,16339,NL,320,D,2008,37500
259,12982,NL,320,D,2008,47500
260,5942,BE,320,D2,2017,68880
261,9590,FI,320,E,2013,89500
262,13725,NL,320,D,2009,49800
263,8800,NO,320,E,2014,83580
264,12036,PL,320,C,2005,47044
265,6949,ES,320,E,2016,104500
266,7696,FR,320,F,2016,95000
267,8250,FR,320,D,2011,55000
268,12372,PL,320,E,2012,65000
269,8600,BY,320,D,2010,46900
270,7700,NO,320,E,2015,99770
271,9040,DE,320,E,2013,67500
272,9200,NO,320,D,2011,47326
273,11807,SE,320,E,2013,68563
274,13057,IE,320,B,2005,29950
275,10748,BE,320,E,2014,59000
276,7800,PL,320,E,2014,77500
277,16737,FR,320,D,2010,42900
278,9701,NL,320,E,2013,10000
279,8558,DE,320,E,2013,102221
280,10687,FR,320,E,2012,65000
281,11000,LT,320,E,2015,70000
282,11075,NL,320,D,2008,51900
283,3374,DE,320,NG,2019,159000
284,7800,FI,320,E,2014,105000
285,7720,PL,320,E,2015,74500
286,9674,FI,320,E,2015,98000
287,7814,FI,320,D,2008,46000
288,6900,DE,320,E,2012,69500
289,9996,EE,320,E,2012,62500
290,8300,GB,320,E,2015,71080
291,5027,DE,320,NG,2018,120000
292,17897,NL,320,D,2007,47800
293,12081,NL,320,E,2013,69800
294,8776,PT,320,F,2012,69000
295,8458,NL,320,E,2012,69000
296,1515,FR,320,NG,2018,155000
297,8169,NL,320,E,2014,67800
298,6500,DE,320,E,2016,118000
299,10611,DE,320,E,2012,66000
300,1608,UA,320,D2,2018,117000
301,1750,UA,320,D,2018,115000
302,246,DE,320,NG,2020,134500
303,11760,NL,320,E,2013,66900
304,9500,PL,320,E,2014,61858
305,2710,TR,320,NG,2020,95000
306,9300,FI,320,E,2015,82000
307,4335,FR,320,E,2015,120000
308,8470,TR,320,D,2014,72000
309,7200,FR,320,F,2017,103000
310,3215,PL,320,NG,2020,136000
311,2801,PL,320,NG,2019,128000
312,3744,PL,320,F,2016,156000
313,8500,NO,320,E,2014,64611
314,3000,TR,320,,2018,96400
315,9950,NO,320,E,2013,71911
316,10600,DE,320,E,2013,60900
317,7337,SE,320,F,2016,116581
318,895,BE,320,D3,2019,89000
319,18706,NL,320,D,2011,49800
320,11147,PL,320,D,2010,41430
321,1403,NL,320,D3,2018,81800
322,1701,NL,320,D3,2020,86800
323,1364,NL,320,D,2018,85800
324,10275,NL,320,E,2012,62900
325,3330,FI,320,F,2017,124900
326,12076,EE,320,E,2013,67900
327,1181,FR,320,NG,2019,150000
328,8443,FR,320,E,2015,70000
329,10458,PL,320,E,2013,70280
330,5905,FI,320,F,2016,125000
331,6876,PL,320,E,2015,83499
332,10649,PL,320,E,2014,79214
333,3531,PL,320,F,2017,144000
334,11135,NL,320,E,2012,65900
335,12700,NL,320,C,2005,47750
336,7461,EE,320,E,2013,73000
337,398,DE,320,NG,2021,159000
338,8811,BE,320,E,2014,69000
339,4771,UK,320,F,2017,71846
340,5805,NL,320,F,2017,84900
341,8657,EE,320,E,2012,73000
342,5200,DE,320,E,2013,93000
343,10128,DE,320,D,2009,54700
344,6390,FI,320,F,2017,119000
345,15878,NL,320,D,2007,56000
346,11322,NL,320,D,2009,51900
347,15191,NL,320,C,2006,44900
348,7408,NO,320,E,2015,79381
349,13000,IE,320,D,2012,55000
350,3100,LV,320,NG,2019,135000
351,5400,LV,320,NG,2018,95000
352,13717,NL,320,D,2007,51500
353,9000,NL,320,C,2005,44500
354,6500,NO,320,E,2014,84404
355,10430,EE,320,D,2006,43900
356,6463,DE,320,E,2012,79000
357,1925,BE,320,NG,2018,137000
358,6811,SK,320,E,2016,97000
359,3862,NL,320,NG,2019,119500
360,6779,NL,320,E,2014,72500
361,13300,DE,320,D,2008,47000
362,7482,NL,320,E,2012,147500
363,9100,BE,320,E,2013,58000
364,9600,BE,320,E,2013,58000
365,10645,SE,320,E,2014,67683
366,11000,RO,320,D,2012,58000
367,11260,PL,320,E,2012,73272
368,7100,NO,320,E,2015,102372
369,7567,PL,320,D,2011,59000
370,5540,DE,320,,2018,119000
371,2930,FR,320,F,2017,140000
372,11600,FR,320,E,2013,56500
373,10074,NL,320,E,2015,66800
374,9799,NL,320,C,2005,45000
375,8674,NL,320,D,2009,64950
376,10545,NL,320,D,2007,54900
377,8986,NL,320,E,2013,68900
378,6692,DE,320,E,2015,62000
379,3067,BE,320,F,2017,115000
380,10779,LV,320,E,2013,71000
381,12154,NL,320,E,2013,59900
382,10646,BE,320,D,2011,44000
383,10226,NL,320,D,2008,52900
384,6650,FI,320,E,2015,97000
385,8673,LV,320,E,2014,71000
386,5258,PL,320,E,2016,115000
387,5950,PL,320,E,2014,99940
388,12384,SE,320,C,2005,31520
389,5184,BE,320,D2,2016,64000
390,9300,NL,320,D,2010,52750
391,11000,NL,320,D,2012,69000
392,10789,NL,320,D,2008,46800
