index,extension,location,working_hours,price,const_year,model,L,RR,LR,GC,VA,SA,N,LGP,XL,3B,4F
78,E,DE,1735,67000,2017,308,0,0,0,0,0,0,0,0,0,0,0
79,E2,BE,5000,40000,2015,308,0,0,0,0,0,0,0,0,0,0,0
80,D,DE,1095,69900,2019,308,0,0,0,0,0,0,0,0,0,0,0
81,E,DE,2940,49900,2015,308,0,0,0,0,0,0,0,0,0,0,0
82,D,LT,4700,31500,2011,308,0,0,0,0,0,0,0,0,0,0,0
83,D,DE,6192,33900,2012,308,0,0,0,0,0,0,0,0,0,0,0
84,E2,FR,6200,32800,2012,308,0,0,0,0,0,0,0,0,0,0,0
85,E2,NL,1600,58500,2019,308,0,0,0,0,0,0,0,0,0,0,0
86,E,PL,750,70200,2020,308,0,0,0,0,0,0,0,0,0,0,0
87,E2,FR,2594,76000,2017,308,0,0,0,0,0,0,0,0,0,0,0
88,E,FI,7454,42500,2012,308,0,0,0,0,0,0,0,0,0,0,0
89,E,SE,3200,53095,2013,308,0,0,0,0,0,0,0,0,0,0,0
90,C,AT,2700,42500,2007,308,0,0,0,0,0,0,0,0,0,0,0
91,C,BE,4885,26000,2008,308,0,0,0,0,0,0,0,0,0,0,0
92,E2,FR,3755,50000,2016,308,0,0,0,0,0,0,0,0,0,0,0
93,,DE,3190,47900,2016,308,0,0,0,0,0,0,0,0,0,0,0
94,E2,NL,4700,41900,2014,308,0,0,0,0,0,0,0,0,0,0,0
95,D,IT,5138,32000,2009,308,0,0,0,0,0,0,0,0,0,0,0
96,E2,DE,4750,44000,2015,308,0,0,0,0,0,0,0,0,0,0,0
97,D,ES,3700,35750,2012,308,0,0,0,0,0,0,0,0,0,0,0
98,D,ES,7989,27250,2010,308,0,0,0,0,0,0,0,0,0,0,0
99,E2,FI,3015,55800,2016,308,0,0,0,0,0,0,0,0,0,0,0
100,E,SE,8060,46361,2013,308,0,0,0,0,0,0,0,0,0,0,0
101,E2,PL,4090,53936,2017,308,0,0,0,0,0,0,0,0,0,0,0
102,E2,FR,4277,50000,2017,308,0,0,0,0,0,0,0,0,0,0,0
103,E2,PL,478,50930,2017,308,0,0,0,0,0,0,0,0,0,0,0
104,E2,FR,2522,70000,2017,308,0,0,0,0,0,0,0,0,0,0,0
105,D,NL,5143,33500,2009,308,0,0,0,0,0,0,0,0,0,0,0
106,E2,NL,2456,56900,2016,308,0,0,0,0,0,0,0,0,0,0,0
107,E2,BE,4068,53500,2015,308,0,0,0,0,0,0,0,0,0,0,0
108,E2,IT,2936,44000,2013,308,0,0,0,0,0,0,0,0,0,0,0
109,C,DE,2149,64700,2019,308,0,0,0,0,0,0,0,0,0,0,0
110,E,DE,2997,53900,2016,308,0,0,0,0,0,0,0,0,0,0,0
111,NG,FI,2838,75000,2019,308,0,0,0,0,0,0,0,0,0,0,0
112,D,BE,6673,24950,2010,308,0,0,0,0,0,0,0,0,0,0,0
113,,PL,457,54481,2019,308,0,0,0,0,0,0,0,0,0,0,0
114,E2,FI,4907,58000,2015,308,0,0,0,0,0,0,0,0,0,0,0
115,E2,NO,2900,55954,2014,308,0,0,0,0,0,0,0,0,0,0,0
116,E2,DE,3441,35500,2014,308,0,0,0,0,0,0,0,0,0,0,0
117,E2,NL,1115,67800,2018,308,0,0,0,0,0,0,0,0,0,0,0
118,E2,CZ,1170,63694,2018,308,0,0,0,0,0,0,0,0,0,0,0
119,E2,PL,3213,56000,2017,308,0,0,0,0,0,0,0,0,0,0,0
120,E2,FR,4611,53000,2017,308,0,0,0,0,0,0,0,0,0,0,0
121,E2,FR,4090,52000,2015,308,0,0,0,0,0,0,0,0,0,0,0
122,D,CZ,7966,29722,2008,308,0,0,0,0,0,0,0,0,0,0,0
123,E2,NL,1706,59000,2017,308,0,0,0,0,0,0,0,0,0,0,0
124,E2,BE,3050,45000,2015,308,0,0,0,0,0,0,0,0,0,0,0
125,E2,DE,2000,57000,2017,308,0,0,0,0,0,0,0,0,0,0,0
126,E2,DE,2365,49950,2016,308,0,0,0,0,0,0,0,0,0,0,0
127,E2,NO,5025,57503,2014,308,0,0,0,0,0,0,0,0,0,0,0
128,E2,EE,1689,54750,2016,308,0,0,0,0,0,0,0,0,0,0,0
129,E,BE,1746,62500,2015,308,0,0,0,0,0,0,0,0,0,0,0
130,E,NL,4637,43500,2012,308,0,0,0,0,0,0,0,0,0,0,0
131,E2,LT,3417,43000,2016,308,0,0,0,0,0,0,0,0,0,0,0
132,E2,IT,2017,59000,2017,308,0,0,0,0,0,0,0,0,0,0,0
133,E2,IT,626,72000,2018,308,0,0,0,0,0,0,0,0,0,0,0
134,E,SE,5700,39994,2012,308,0,0,0,0,0,0,0,0,0,0,0
135,E,NL,4071,41900,2012,308,0,0,0,0,0,0,0,0,0,0,0
136,E2,UA,2580,83000,2016,308,0,0,0,0,0,0,0,0,0,0,0
137,E2,BE,3033,48750,2017,308,0,0,0,0,0,0,0,0,0,0,0
138,E,PL,5145,47448,2015,308,0,0,0,0,0,0,0,0,0,0,0
139,E2,DE,2800,51900,2015,308,0,0,0,0,0,0,0,0,0,0,0
140,E2,PL,1411,56282,2018,308,0,0,0,0,0,0,0,0,0,0,0
141,,PL,462,60628,2019,308,0,0,0,0,0,0,0,0,0,0,0
142,D,IT,5700,32000,2009,308,0,0,0,0,0,0,0,0,0,0,0
143,C,SE,5250,38591,2006,308,0,0,0,0,0,0,0,0,0,0,0
144,E2,PL,3653,54109,2017,308,0,0,0,0,0,0,0,0,0,0,0
145,E2,IT,4090,51000,2015,308,0,0,0,0,0,0,0,0,0,0,0
146,E2,AT,7617,41500,2014,308,0,0,0,0,0,0,0,0,0,0,0
147,,DE,920,69950,2019,308,0,0,0,0,0,0,0,0,0,0,0
148,E2,CH,2565,55229,2016,308,0,0,0,0,0,0,0,0,0,0,0
149,E,FR,1850,59500,2017,308,0,0,0,0,0,0,0,0,0,0,0
150,E2,FR,2039,40900,2017,308,0,0,0,0,0,0,0,0,0,0,0
151,E2,SE,1311,82263,2018,308,0,0,0,0,0,0,0,0,0,0,0
152,E2,IT,2780,61000,2017,308,0,0,0,0,0,0,0,0,0,0,0
153,E,GB,3000,51320,2016,308,0,0,0,0,0,0,0,0,0,0,0
154,E2,SK,2399,60000,2016,308,0,0,0,0,0,0,0,0,0,0,0
155,D,DE,8300,28900,2010,308,0,0,0,0,0,0,0,0,0,0,0
156,E2,CH,2660,56750,2016,308,0,0,0,0,0,0,0,0,0,0,0
157,E2,AT,4250,53900,2016,308,0,0,0,0,0,0,0,0,0,0,0
158,E2,LT,1479,67750,2018,308,0,0,0,0,0,0,0,0,0,0,0
159,E2,RO,4400,44900,2014,308,0,0,0,0,0,0,0,0,0,0,0
160,E2,FI,687,74000,2019,308,0,0,0,0,0,0,0,0,0,0,0
161,E2,IT,2716,62000,2017,308,0,0,0,0,0,0,0,0,0,0,0
162,E2,SI,1800,78500,2019,308,0,0,0,0,0,0,0,0,0,0,0
163,E2,PL,3960,46316,2016,308,0,0,0,0,0,0,0,0,0,0,0
164,E2,FI,2400,79900,2018,308,0,0,0,0,0,0,0,0,0,0,0
165,E2,BE,2433,46500,2014,308,0,0,0,0,0,0,0,0,0,0,0
166,D,BE,4865,38500,2010,308,0,0,0,0,0,0,0,0,0,0,0
167,E2,FR,2176,69000,2018,308,0,0,0,0,0,0,0,0,0,0,0
168,E2,FR,2537,66000,2018,308,0,0,0,0,0,0,0,0,0,0,0
169,E2,IT,2802,57000,2016,308,0,0,0,0,0,0,0,0,0,0,0
170,E2,PL,3079,43550,2014,308,0,0,0,0,0,0,0,0,0,0,0
171,E2,IT,6127,37000,2014,308,0,0,0,0,0,0,0,0,0,0,0
172,E2,PL,4114,44603,2015,308,0,0,0,0,0,0,0,0,0,0,0
173,D,SE,8600,46826,2012,308,0,0,0,0,0,0,0,0,0,0,0
174,E2,PL,2851,50219,2016,308,0,0,0,0,0,0,0,0,0,0,0
175,C,UA,4900,28500,2007,308,0,0,0,0,0,0,0,0,0,0,0
176,E2,DE,785,74500,2017,308,0,0,0,0,0,0,0,0,0,0,0
177,D,GE,1625,54663,2009,308,0,0,0,0,0,0,0,0,0,0,0
178,D,NO,9035,48067,2010,308,0,0,0,0,0,0,0,0,0,0,0
179,E2,FR,3540,61000,2016,308,0,0,0,0,0,0,0,0,0,0,0
180,D,PL,7000,33180,2010,308,0,0,0,0,0,0,0,0,0,0,0
181,E2,LV,4724,49000,2016,308,0,0,0,0,0,0,0,0,0,0,0
182,E,DE,4000,42000,2012,308,0,0,0,0,0,0,0,0,0,0,0
183,,PL,1754,78425,2019,308,0,0,0,0,0,0,0,0,0,0,0
184,D,FI,7698,43000,2011,308,0,0,0,0,0,0,0,0,0,0,0
185,D,FI,8110,52900,2011,308,0,0,0,0,0,0,0,0,0,0,0
186,E2,FR,3250,51900,2015,308,0,0,0,0,0,0,0,0,0,0,0
187,E2,IT,1646,59000,2017,308,0,0,0,0,0,0,0,0,0,0,0
188,E2,FI,4134,59900,2014,308,0,0,0,0,0,0,0,0,0,0,0
189,E,SE,7700,46664,2013,308,0,0,0,0,0,0,0,0,0,0,0
190,E2,FI,5338,58500,2017,308,0,0,0,0,0,0,0,0,0,0,0
191,E2,BE,1450,52450,2017,308,0,0,0,0,0,0,0,0,0,0,0
192,E2,PL,1403,56000,2018,308,0,0,0,0,0,0,0,0,0,0,0
193,E,LT,5664,39900,2013,308,0,0,0,0,0,0,0,0,0,0,0
194,E2,DE,3500,49900,2017,308,0,0,0,0,0,0,0,0,0,0,0
195,E2,PL,1600,53150,2017,308,0,0,0,0,0,0,0,0,0,0,0
196,E2,LT,1427,69000,2019,308,0,0,0,0,0,0,0,0,0,0,0
197,E,UA,7681,50900,2013,308,0,0,0,0,0,0,0,0,0,0,0
198,E,FR,4430,41500,2012,308,0,0,0,0,0,0,0,0,0,0,0
199,D,FR,4484,38000,2012,308,0,0,0,0,0,0,0,0,0,0,0
200,E2,NL,2580,52500,2016,308,0,0,0,0,0,0,0,0,0,0,0
201,E2,PL,310,66000,2018,308,0,0,0,0,0,0,0,0,0,0,0
202,E2,PL,1737,63119,2018,308,0,0,0,0,0,0,0,0,0,0,0
203,E2,BE,2210,67000,2018,308,0,0,0,0,0,0,0,0,0,0,0
204,E2,FR,2281,65000,2016,308,0,0,0,0,0,0,0,0,0,0,0
205,E,DE,2525,59000,2016,308,0,0,0,0,0,0,0,0,0,0,0
206,E,ES,4393,42500,2012,308,0,0,0,0,0,0,0,0,0,0,0
207,E2,FR,1287,68000,2017,308,0,0,0,0,0,0,0,0,0,0,0
208,D,ES,5336,44500,2011,308,0,0,0,0,0,0,0,0,0,0,0
209,E2,FR,1829,72000,2018,308,0,0,0,0,0,0,0,0,0,0,0
210,E2,FI,1,49700,2015,308,0,0,0,0,0,0,0,0,0,0,0
211,E2,DE,7,74500,2020,308,0,0,0,0,0,0,0,0,0,0,0
212,E2,DE,7,74500,2018,308,0,0,0,0,0,0,0,0,0,0,0
213,E2,PL,29,54210,2018,308,0,0,0,0,0,0,0,0,0,0,0
214,,GB,5000,129823,2018,320,0,0,0,0,0,0,0,0,0,0,0
215,,RU,7340,150972,2018,320,0,0,0,0,0,0,0,0,0,0,0
216,E,NO,8906,78954,2012,320,1,0,0,0,0,0,0,0,0,0,0
217,D2,NL,6070,99000,2018,320,1,0,0,0,0,0,0,0,0,0,0
218,NG,DE,550,87000,2019,320,0,0,0,1,0,0,0,0,0,0,0
219,D,NL,9644,42500,2007,320,1,0,0,0,0,0,0,0,0,0,0
220,D,NL,7486,63900,2010,320,0,0,0,0,0,0,0,0,0,0,0
221,E,DE,6971,71500,2013,320,1,0,0,0,0,0,0,0,0,0,0
222,D,NL,12609,58900,2010,320,0,0,0,0,0,0,0,0,0,0,0
223,D,NO,6000,70874,2011,320,1,1,0,0,0,0,0,0,0,0,0
224,F,NL,5703,100000,2017,320,1,0,0,0,0,0,0,0,0,0,0
225,E,SE,10625,86064,2012,320,1,0,0,0,0,0,0,0,0,0,0
226,D,TR,10535,74250,2013,320,1,0,0,0,0,0,0,0,0,0,0
227,NG,NL,2700,97500,2020,320,0,0,0,1,0,0,0,0,0,0,0
228,NG,NL,2542,97500,2019,320,0,0,0,1,0,0,0,0,0,0,0
229,D,PL,12000,21500,2008,320,0,0,0,0,0,0,0,0,0,0,0
230,E,LV,8600,83500,2015,320,1,0,0,0,0,0,0,0,0,0,0
231,D,NL,7740,61900,2010,320,0,0,0,0,0,0,0,0,0,0,0
232,C,IT,6000,48000,2005,320,0,0,0,0,0,0,0,0,0,0,0
233,E,PL,4980,88000,2014,320,1,0,0,0,0,0,0,0,0,0,0
234,E,DE,9508,68500,2013,320,1,0,0,0,0,0,0,0,0,0,0
235,E,DE,7134,68900,2012,320,1,0,0,0,0,0,0,0,0,0,0
236,NG,AT,1302,125900,2019,320,0,0,0,1,0,0,0,0,0,0,0
237,E,DE,10000,64900,2012,320,1,0,0,0,0,0,0,0,0,0,0
238,D,BG,8111,58900,2010,320,1,0,0,0,0,0,0,0,0,0,0
239,E,DE,9150,69500,2012,320,1,0,0,0,0,0,0,0,0,0,0
240,E,NO,7735,98770,2015,320,1,0,0,0,0,0,0,0,0,0,0
241,C,NL,13073,41000,2006,320,1,0,0,0,0,0,0,0,0,0,0
242,NG,BY,3100,115000,2020,320,0,0,0,1,0,0,0,0,0,0,0
243,E,NO,8750,86780,2014,320,1,0,0,0,0,0,0,0,0,0,0
244,D,GB,9700,49453,2007,320,1,0,0,0,0,0,0,0,0,0,0
245,D,ES,13600,56000,2010,320,0,0,0,0,0,0,0,0,0,0,0
246,D3,BE,715,89000,2020,320,0,0,0,1,0,0,0,0,0,0,0
247,,GB,4607,107248,2018,320,0,0,0,0,0,0,0,0,0,0,0
248,D,GB,11695,51192,2011,320,1,0,0,0,0,0,0,0,0,0,0
249,C,NL,9344,48500,2005,320,1,0,0,0,0,0,0,0,0,0,0
250,D,GB,12000,45765,2007,320,1,0,0,0,0,0,0,0,0,0,0
251,D,FR,8258,52000,2011,320,1,0,0,0,0,0,0,0,0,0,0
252,E,BE,6875,79500,2015,320,1,0,0,0,0,0,0,0,0,0,0
253,NG,DE,1737,165000,2020,320,0,0,0,0,0,0,0,0,0,0,0
254,E,IE,9300,66500,2013,320,1,1,0,0,0,0,0,0,0,0,0
255,NG,AT,4355,121500,2018,320,0,0,0,0,0,0,0,0,0,0,0
256,E,NO,7600,99430,2015,320,0,0,0,0,0,0,0,0,0,0,0
257,E,PL,9377,112100,2015,320,0,0,0,0,0,0,0,0,0,0,0
258,D,NL,16339,37500,2008,320,1,0,0,0,0,0,0,0,0,0,0
259,D,NL,12982,47500,2008,320,1,0,0,0,0,0,0,0,0,0,0
260,D2,BE,5942,68880,2017,320,0,0,0,1,0,0,0,0,0,0,0
261,E,FI,9590,89500,2013,320,1,0,1,0,0,0,0,0,0,0,0
262,D,NL,13725,49800,2009,320,0,0,0,0,0,0,0,0,0,0,0
263,E,NO,8800,83580,2014,320,1,0,0,0,0,0,0,0,0,0,0
264,C,PL,12036,47044,2005,320,0,0,0,0,0,0,0,0,0,0,0
265,E,ES,6949,104500,2016,320,1,0,0,0,0,0,0,0,0,0,0
266,F,FR,7696,95000,2016,320,0,0,0,0,0,0,0,0,0,0,0
267,D,FR,8250,55000,2011,320,1,0,0,0,0,0,0,0,0,0,0
268,E,PL,12372,65000,2012,320,1,0,0,0,0,0,0,0,0,0,0
269,D,BY,8600,46900,2010,320,0,0,0,0,0,0,0,0,0,0,0
270,E,NO,7700,99770,2015,320,1,1,0,0,0,0,0,0,0,0,0
271,E,DE,9040,67500,2013,320,1,0,0,0,0,0,0,0,0,0,0
272,D,NO,9200,47326,2011,320,1,1,0,0,0,0,0,0,0,0,0
273,E,SE,11807,68563,2013,320,1,1,0,0,0,0,0,0,0,0,0
274,B,IE,13057,29950,2005,320,0,0,0,0,0,0,0,0,0,0,0
275,E,BE,10748,59000,2014,320,1,1,0,0,0,0,0,0,0,0,0
276,E,PL,7800,77500,2014,320,1,0,0,0,0,0,0,0,0,0,0
277,D,FR,16737,42900,2010,320,0,0,0,0,0,0,0,0,0,0,0
278,E,NL,9701,10000,2013,320,1,0,0,0,0,0,0,0,0,0,0
279,E,DE,8558,102221,2013,320,1,1,0,0,0,0,0,0,0,0,0
280,E,FR,10687,65000,2012,320,0,0,0,0,0,0,0,0,0,0,0
281,E,LT,11000,70000,2015,320,1,0,0,0,0,0,0,0,0,0,0
282,D,NL,11075,51900,2008,320,0,0,0,0,0,0,0,0,0,0,0
283,NG,DE,3374,159000,2019,320,0,0,0,0,0,0,0,0,0,0,0
284,E,FI,7800,105000,2014,320,1,1,0,0,0,0,0,0,0,0,0
285,E,PL,7720,74500,2015,320,1,1,0,0,0,0,0,0,0,0,0
286,E,FI,9674,98000,2015,320,1,1,0,0,0,0,0,0,0,0,0
287,D,FI,7814,46000,2008,320,1,0,0,0,0,0,0,0,0,0,0
288,E,DE,6900,69500,2012,320,1,1,0,0,0,0,0,0,0,0,0
289,E,EE,9996,62500,2012,320,0,0,0,0,0,0,0,0,0,0,0
290,E,GB,8300,71080,2015,320,1,0,0,0,0,0,0,0,0,0,0
291,NG,DE,5027,120000,2018,320,0,0,0,0,0,0,0,0,0,0,0
292,D,NL,17897,47800,2007,320,0,0,0,0,0,0,0,0,0,0,0
293,E,NL,12081,69800,2013,320,1,0,0,0,0,0,0,0,0,0,0
294,F,PT,8776,69000,2012,320,1,0,0,0,0,0,0,0,0,0,0
295,E,NL,8458,69000,2012,320,0,0,0,0,0,0,0,0,0,0,0
296,NG,FR,1515,155000,2018,320,0,0,0,1,0,0,0,0,0,0,0
297,E,NL,8169,67800,2014,320,1,1,0,0,0,0,0,0,0,0,0
298,E,DE,6500,118000,2016,320,0,0,0,0,0,0,0,0,0,0,0
