,basic-subset,location,extension,location-extension
Test-MAE,13164.61,11464.34,12256.14,11623.22
Test-MAPE,0.1601,0.1426,0.1514,0.1448
Test-RMSE,20780.36,19021.98,19331.07,18671.98
Test-N-RMSE,0.0872,0.0798,0.0811,0.0784
Test-IQR-RMSE,0.4016,0.3676,0.3735,0.3608
Test-CV-RMSE,0.2374,0.2173,0.2208,0.2133
Test-R2,0.7248,0.7694,0.7619,0.7778
Training-Duration,11.404,18.037,14.587,20.2
Test-Duration,0.0004459298,0.0004177854,0.0004227119,0.0002172703
