model_id,rank,ensemble_weight,type,cost,duration,config_id,train_loss,seed,start_time,end_time,budget,status,data_preprocessors,feature_preprocessors,balancing_strategy,config_origin
73,1,0.28,extra_trees,13677.030979046243,101.64979147911072,72,7767.954912209592,0,1701237832.2425528,1701237933.919332,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
125,2,0.14,gradient_boosting,14041.420409591763,1.8033158779144287,124,4720.399112296893,0,1701238364.7624435,1701238366.5913253,0.0,StatusType.SUCCESS,[],['pca'],,Local Search
75,3,0.0,gradient_boosting,14349.721080202313,0.9162600040435791,74,9071.482293819485,0,1701237945.5020545,1701237946.437498,0.0,StatusType.SUCCESS,[],['select_rates_regression'],,Local Search
47,4,0.0,extra_trees,14383.26846098266,1.7433462142944336,46,11394.49626523304,0,1701237660.819798,1701237662.5882967,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Random Search (sorted)
59,5,0.0,gradient_boosting,14496.925275469654,0.9249889850616455,58,9694.48229493301,0,1701237700.7939277,1701237701.7405703,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Random Search (sorted)
118,6,0.0,extra_trees,14511.481624819364,3.352271795272827,117,8029.930763166334,0,1701238331.8123648,1701238335.1892729,0.0,StatusType.SUCCESS,[],['fast_ica'],,Local Search
116,7,0.18,gradient_boosting,14563.913730581648,1.0895521640777588,115,6888.966232317203,0,1701238324.5495257,1701238325.6638696,0.0,StatusType.SUCCESS,[],['fast_ica'],,Local Search
99,8,0.0,extra_trees,14565.892747471098,1.287651777267456,98,9135.386355740451,0,1701238230.53347,1701238231.8429146,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
65,9,0.06,random_forest,14586.852023121388,17.56366991996765,64,9632.642112671037,0,1701237722.4067495,1701237739.996717,0.0,StatusType.SUCCESS,[],['select_rates_regression'],,Random Search
2,10,0.0,random_forest,14592.67261109104,3.1086580753326416,1,5018.830629320481,0,1701236735.8449337,1701236738.9774241,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Initial design
101,11,0.0,gradient_boosting,14595.05956466763,1.458043098449707,100,5261.54634384799,0,1701238237.3331008,1701238238.812602,0.0,StatusType.SUCCESS,[],['select_rates_regression'],,Local Search
