,basic-subset,extension,location,extension-location
Test-MAE,12034.01,11675.75,10554.08,10073.44
Test-MAPE,0.1324,0.1304,0.1216,0.1145
Test-RMSE,17878.4,17064.62,15338.18,14770.76
Test-N-RMSE,0.0828,0.079,0.071,0.0684
Test-IQR-RMSE,0.3472,0.3314,0.2978,0.2868
Test-CV-RMSE,0.1989,0.1899,0.1706,0.1643
Test-R2,0.8051,0.8225,0.8566,0.867
Training-Duration,15.276,13.856,23.711,21.772
Test-Duration,0.0001241399,0.0001505749,0.000507993,0.0005942546
