;extension;L;N;H;LR;ME;GC;location;working_hours;price;const_year
114;E;1;0;0;0;0;0;BE;12025;82000;2011
115;E;1;1;1;0;0;0;DE;9723;99750;2013
116;E;1;1;0;0;0;0;DE;7358;125900;2014
117;NG;0;0;0;0;0;0;BE;305;299000;2020
118;D;0;0;0;1;0;0;NL;13227;96800;2011
119;E;1;0;0;0;0;0;NL;4602;159000;2015
120;D;1;0;0;0;1;0;NL;20978;57000;2011
121;E;1;1;0;0;0;0;CH;9766;103045;2013
122;E;1;1;1;0;0;0;CH;9664;101172;2013
123;NG;1;1;0;0;0;0;CH;3045;293868;2018
124;F;1;1;0;0;0;0;DE;8915;125000;2015
125;E;1;0;0;0;0;0;RO;10037;85000;2014
126;E;1;0;0;0;0;0;HU;9420;88900;2013
127;F;0;0;0;0;0;0;FR;4943;195000;2016
128;E;1;0;0;0;0;0;FR;10991;105000;2010
129;E;1;0;1;0;0;0;AT;11514;93500;2013
130;E;1;0;1;0;0;0;AT;11416;99000;2013
131;E;0;0;0;0;0;0;NL;10100;30000;2014
132;F;1;0;0;0;0;0;RO;11700;92000;2016
133;D;1;0;0;0;0;0;TR;9750;106000;2013
134;E;0;0;0;0;0;0;IS;9720;111579;2014
135;F;1;0;0;0;0;0;PL;7864;127514;2016
136;D;1;1;0;0;0;0;PL;20722;43948;2011
137;F;1;0;0;0;0;0;PL;12603;85514;2016
138;F;0;0;0;0;0;0;NL;11850;25000;2016
139;D;0;0;0;0;0;0;NL;17045;67500;2012
140;E;1;0;0;0;0;0;NO;8200;74572;2012
141;D;0;0;0;0;0;0;TR;18000;57500;2012
142;E;1;1;0;0;0;0;NL;11482;80800;2014
143;F;1;1;0;0;0;0;DE;4780;187500;2018
144;F;1;0;0;0;0;0;DE;8548;135900;2016
145;E;1;1;0;0;0;0;DE;10771;109900;2014
146;F;1;0;0;0;0;0;DE;7933;135900;2016
147;F;1;1;0;0;0;0;UA;7250;136500;2016
148;E;1;0;0;0;0;0;FR;5568;149000;2015
149;D;1;0;0;0;0;0;RU;10500;98391;2013
150;D2;1;0;0;0;0;0;BE;8293;99000;2015
151;D;1;0;0;0;0;0;TR;12485;77000;2012
152;D;1;0;0;0;0;0;TR;9535;99000;2012
153;D2;1;0;0;0;0;0;NL;1061;184800;2017
154;D2;1;0;0;0;0;0;NL;1148;184800;2017
155;F;1;1;0;0;0;0;DE;3209;249900;2018
156;D;1;0;0;0;0;0;DE;8280;105500;2012
158;F;1;1;0;0;0;0;DE;3300;245000;2018
159;F;0;0;0;0;0;0;NL;7850;148500;2016
160;D2;1;0;0;0;0;0;PL;7123;94450;2015
161;E;0;0;0;0;0;0;NO;8500;77900;2013
162;F;1;0;0;0;0;0;NL;3904;195000;2018
163;F;0;0;0;0;0;0;PL;11201;22;2015
164;E;1;0;0;0;0;0;NL;12672;84800;2014
165;F;1;0;0;0;0;0;LT;8803;132300;2015
166;F;0;0;0;0;0;0;FR;2524;550000;2016
167;D;0;0;0;1;0;0;DE;13192;92900;2011
168;D;1;0;0;0;0;0;SE;16648;56789;2011
170;D;0;0;0;0;0;0;DE;10517;79900;2010
171;E;0;0;0;0;0;0;NL;10050;77500;2013
172;F;0;0;0;0;0;0;IT;4872;200000;2017
173;F;0;0;0;0;0;0;IT;4624;205000;2017
174;F;0;0;0;0;0;0;SE;7500;174130;2015
175;D;1;1;0;0;0;0;IT;11500;70000;2011
177;F;1;1;0;0;0;0;DE;7932;135000;2016
178;F;1;0;0;0;0;0;BE;2300;195000;2017
179;F;1;0;0;0;0;0;BE;2689;234000;2018
