,basic-subset,location,extension,location-extension
Test-MAE,33750.64,47361.93,23777.02,42941.44
Test-MAPE,0.3304,0.5329,0.2189,0.4542
Test-RMSE,77610.73,91719.7,51120.56,77262.94
Test-N-RMSE,0.1031,0.1219,0.0679,0.1027
Test-IQR-RMSE,1.3303,1.5721,0.8762,1.3243
Test-CV-RMSE,0.7638,0.9027,0.5031,0.7604
Test-R2,-0.2805,-0.7884,0.4445,-0.269
Training-Duration,1800.58,1800.06,1800.084,1799.999
Test-Duration,2.68907e-05,2.0664e-05,2.10396e-05,2.27984e-05
