,basic-subset,location,extension,location-extension
Test-MAE,22271.82,22727.16,20132.27,19742.82
Test-MAPE,0.2064,0.205,0.1869,0.1915
Test-RMSE,52381.48,53850.7,49915.43,49759.88
Test-N-RMSE,0.0696,0.0716,0.0663,0.0661
Test-IQR-RMSE,0.8978,0.923,0.8556,0.8529
Test-CV-RMSE,0.5155,0.53,0.4913,0.4897
Test-R2,0.4167,0.3835,0.4703,0.4736
Training-Duration,65.223,65.862,65.743,66.009
Test-Duration,0.0014267237,0.0016076034,0.0016144155,0.0017482271
