,basic-subset,location,extension,location-extension
CV - LinReg - Mean MAE,19250,21608,20118,2041765583632
CV - LinReg - Mean MAPE,200.52228897703583,222.11126502258298,210.85322327894374,29052919.328826077
CV - LinReg - Mean RMSE,36633,38496,37251,33111873131606
CV - LinReg - Mean R2Score,0.5798,0.537,0.5676,-1.8157479516139233e+18
CV - Tree - Mean MAE,21604,21915,22663,20550
CV - Tree - Mean MAPE,191.32613387636684,199.74536588724368,178.64042403475028,185.14591468050344
CV - Tree - Mean RMSE,41562,46758,49546,44480
CV - Tree - Mean R2Score,0.4495,0.2072,0.1661,0.3216
CV - RandForest - Mean MAE,19804,18091,18940,18328
CV - RandForest - Mean MAPE,204.1559878946033,192.1634684349612,182.35655665293538,193.8506100400213
CV - RandForest - Mean RMSE,38935,37702,39354,37916
CV - RandForest - Mean R2Score,0.5214,0.5552,0.5036,0.5436
CV - SVR - Mean MAE,26062,27084,23790,26786
CV - SVR - Mean MAPE,193.17043043651418,193.81385158094926,197.91972145690042,195.85054217587958
CV - SVR - Mean RMSE,45238,47183,43406,46965
CV - SVR - Mean R2Score,0.3451,0.2776,0.3895,0.2861
CV - KNN - Mean MAE,21027,19298,19370,19198
CV - KNN - Mean MAPE,183.56635526462136,179.70419514445408,177.5216385183191,180.11183452944917
CV - KNN - Mean RMSE,42695,40912,41899,42988
CV - KNN - Mean R2Score,0.4,0.4486,0.4169,0.3609
CV - AdaBoost - Mean MAE,30579,32836,31384,39180
CV - AdaBoost - Mean MAPE,228.75879680086229,207.27097374202194,220.36869433957273,210.71383005720318
CV - AdaBoost - Mean RMSE,49955,50079,49848,57713
CV - AdaBoost - Mean R2Score,0.1734,0.1602,0.1828,-0.2303
final-model,"KNeighborsRegressor(n_neighbors=10, p=1)","KNeighborsRegressor(n_neighbors=8, p=3)","KNeighborsRegressor(n_neighbors=10, p=3, weights='distance')","KNeighborsRegressor(n_neighbors=10, p=3)"
Test-MAE,20816.71,22535.6,19798.17,21185.2
Test-MAPE,0.1948,0.2106,0.1867,0.1999
Test-RMSE,47800.94,48993.67,48467.49,46848.73
Test-N-RMSE,0.0635,0.0651,0.0644,0.0623
Test-IQR-RMSE,0.8193,0.8398,0.8308,0.803
Test-CV-RMSE,0.4705,0.4822,0.477,0.4611
Test-R2,0.5143,0.4897,0.5006,0.5334
Training-Duration,28.983,33.852,21.636,56.624
Test-Duration,9.5596e-06,0.0001428127,8.8775e-05,0.0001508741
