,extension,L,RR,LR,GC,location,working_hours,price,const_year
134,F,1,0,0,0,FI,5905,125000,2016
135,E,1,0,0,0,PL,6876,83499,2015
137,E,1,1,0,0,PL,10649,79214,2014
138,F,1,0,0,0,PL,3531,144000,2017
139,E,0,0,0,0,NL,11135,65900,2012
140,C,0,0,0,0,NL,12700,47750,2005
141,E,0,0,0,0,EE,7461,73000,2013
142,NG,0,0,0,1,DE,398,159000,2021
143,E,1,1,0,0,BE,8811,69000,2014
144,F,1,0,0,0,UK,4771,71846,2017
145,F,1,0,0,0,NL,5805,84900,2017
146,E,1,0,0,0,EE,8657,73000,2012
147,E,1,0,0,0,DE,5200,93000,2013
148,D,1,1,0,0,DE,10128,54700,2009
149,F,1,0,0,0,FI,6390,119000,2017
150,D,1,0,0,0,NL,15878,56000,2007
151,D,0,0,0,0,NL,11322,51900,2009
152,C,0,0,0,0,NL,15191,44900,2006
153,E,1,0,0,0,NO,7408,79381,2015
155,B,1,0,0,0,DE,15049,34000,2004
158,D,0,0,0,0,IE,13000,55000,2012
159,NG,0,0,0,0,LV,3100,135000,2019
160,NG,0,0,0,1,LV,5400,95000,2018
161,D,0,0,0,0,NL,13717,51500,2007
162,C,1,0,0,0,NL,9000,44500,2005
163,E,1,0,0,0,NO,6500,84404,2014
164,D,0,0,0,0,EE,10430,43900,2006
165,E,1,0,0,0,DE,6463,79000,2012
166,NG,0,0,0,0,BE,1925,137000,2018
167,E,1,0,0,0,SK,6811,97000,2016
168,NG,0,0,0,0,NL,3862,119500,2019
169,E,1,0,0,0,NL,6779,72500,2014
170,D,1,0,0,0,DE,13300,47000,2008
171,E,1,0,0,0,NL,7482,147500,2012
172,E,1,1,0,0,BE,9100,58000,2013
173,E,1,0,0,0,BE,9600,58000,2013
175,E,1,1,0,0,SE,10645,67683,2014
176,D,1,0,0,0,RO,11000,58000,2012
177,E,1,1,0,0,PL,11260,73272,2012
178,E,1,1,0,0,NO,7100,102372,2015
179,D,1,0,0,0,PL,7567,59000,2011
180,,0,0,0,0,DE,5540,119000,2018
181,F,0,0,0,0,FR,2930,140000,2017
182,E,1,0,0,0,FR,11600,56500,2013
183,E,1,0,0,0,NL,10074,66800,2015
184,C,1,0,0,0,NL,9799,45000,2005
185,D,1,0,1,0,NL,8674,64950,2009
186,D,0,0,0,0,NL,10545,54900,2007
187,E,1,0,0,0,NL,8986,68900,2013
188,E,1,0,0,0,DE,6692,62000,2015
189,F,1,0,0,0,BE,3067,115000,2017
190,E,1,1,0,0,LV,10779,71000,2013
191,E,1,0,0,0,NL,12154,59900,2013
192,C,1,0,0,0,NL,9416,43500,2003
193,C,1,0,0,0,HU,16000,43411,2004
194,D,0,0,0,0,BE,10646,44000,2011
195,D,0,0,0,0,NL,10226,52900,2008
196,E,1,1,0,0,FI,6650,97000,2015
197,E,1,0,0,0,LV,8673,71000,2014
198,E,1,0,0,0,PL,5258,115000,2016
199,NG,0,0,0,0,DE,1565,179000,2020
200,E,1,0,0,0,PL,5950,99940,2014
201,C,1,0,0,0,SE,12384,31520,2005
202,D2,1,0,0,0,BE,5184,64000,2016
203,D,1,0,0,0,NL,9300,52750,2010
204,D,1,0,0,0,NL,11000,69000,2012
205,D,0,0,0,0,NL,10789,46800,2008
206,C,1,0,0,0,NL,14900,41900,2002
208,E,1,0,0,0,DE,7200,77000,2014
209,C,0,0,0,0,NL,16105,41950,2003
210,D,0,0,0,0,RU,7153,101912,2017
211,D,0,0,0,0,RU,5423,108861,2017
213,E,1,0,0,0,LV,8550,77000,2015
214,F,1,0,0,0,DE,3559,115000,2016
215,E,1,0,0,0,NL,10688,61800,2013
216,E,1,1,0,0,GB,9381,66658,2015
217,E,1,0,0,0,NO,2000,78299,2015
218,E,1,0,0,0,NL,5061,82900,2016
219,E,1,0,1,0,LT,10579,85000,2014
220,E,1,0,0,0,NO,10330,74725,2013
221,E,1,0,0,0,DE,10618,65000,2014
222,E,1,1,0,0,BE,8137,69000,2015
223,D,1,0,0,0,TR,11500,59000,2012
224,C,1,0,0,0,GB,13495,51783,2006
225,E,0,0,0,0,PT,8500,85000,2015
226,E,1,0,0,0,NO,7450,78598,2015
227,D,0,0,0,0,NL,2722,82800,2019
228,E,1,0,0,0,DE,7400,79000,2014
229,E,1,0,0,0,CH,4184,112107,2015
230,C,0,0,0,0,DE,16000,43000,2004
231,D,1,0,0,0,TR,11000,52000,2008
232,E,1,0,0,0,GB,11180,70273,2015
