feature_name,feature_importance_vals,feature_importance_percentage
const_year,7679.626258658958,0.3609549761591357
extension,6883.590755837723,0.32354000747902706
model,5086.907987573156,0.23909298311332391
location,879.5674911390471,0.0413411085515359
working_hours,431.60143668627404,0.020285972395295587
L,195.44110558607292,0.009186051147709751
LR,44.16884966998312,0.0020760080689641814
N,42.22617344040216,0.0019846991134869958
3B,25.312722869441235,0.001189739314404795
GC,5.966360057756113,0.0002804286666914235
LGP,1.4473112073323247,6.802599042478857e-05
RR,0.0,0.0
VA,0.0,0.0
SA,0.0,0.0
XL,0.0,0.0
4F,0.0,0.0
