,basic-subset,extension,location,extension-location
Test-MAE,13073.16,12436.39,11487.78,11600.25
Test-MAPE,0.1641,0.1628,0.1461,0.1528
Test-RMSE,18543.47,17335.91,16767.34,16578.77
Test-N-RMSE,0.0875,0.0818,0.0791,0.0782
Test-IQR-RMSE,0.3545,0.3315,0.3206,0.317
Test-CV-RMSE,0.206,0.1926,0.1863,0.1842
Test-R2,0.7643,0.794,0.8073,0.8116
Training-Duration,14.504,16.723,18.787,21.188
Test-Duration,0.0001801024,0.0001973776,0.0002279662,0.0001181449
