,basic-subset,extension,location,extension-location
Test-MAE,13360.38,12842.3,11841.73,11470.72
Test-MAPE,0.1734,0.169,0.1567,0.1542
Test-RMSE,18762.54,17707.93,16562.54,16131.27
Test-N-RMSE,0.0885,0.0835,0.0781,0.0761
Test-IQR-RMSE,0.3587,0.3386,0.3167,0.3084
Test-CV-RMSE,0.2085,0.1967,0.184,0.1792
Test-R2,0.7587,0.7851,0.812,0.8216
Training-Duration,1810.104,1810.292,1977.054,2653.601
Test-Duration,0.0007775785,0.0047760162,0.0006527935,0.0013232383
