,basic-subset,extension,location,extension-location
Test-MAE,13070.85,13368.52,12190.63,15014.33
Test-MAPE,0.1678,0.166,0.1576,0.1846
Test-RMSE,18328.6,18889.73,17140.72,20694.97
Test-N-RMSE,0.0865,0.0891,0.0809,0.0976
Test-IQR-RMSE,0.3504,0.3612,0.3277,0.3957
Test-CV-RMSE,0.2036,0.2099,0.1904,0.2299
Test-R2,0.7697,0.7554,0.7986,0.7064
Training-Duration,1800.05,1800.226,1801.262,1802.423
Test-Duration,1.8644e-05,2.26396e-05,2.77031e-05,3.53206e-05
