,basic-subset,extension,location,extension-location
CV - LinReg - Mean MAE,15341,15923,17035,81590561864682
CV - LinReg - Mean MAPE,0.19253300283290842,0.20735457334447474,0.2240416355204228,1162559773.3198085
CV - LinReg - Mean RMSE,21863,22078,22958,1291304786517301
CV - LinReg - Mean R2Score,0.7118,0.7064,0.6829,-8.718213926905221e+21
CV - Tree - Mean MAE,16230,16296,15324,15791
CV - Tree - Mean MAPE,0.20003773707111266,0.20521001830243515,0.1859719877896497,0.19372774931940034
CV - Tree - Mean RMSE,23998,24035,23386,23458
CV - Tree - Mean R2Score,0.6533,0.6504,0.6692,0.6682
CV - RandForest - Mean MAE,14115,13383,12677,12097
CV - RandForest - Mean MAPE,0.17622569777802385,0.1680372700267346,0.1611987607069822,0.15494888931715925
CV - RandForest - Mean RMSE,20616,19629,18915,18255
CV - RandForest - Mean R2Score,0.7446,0.768,0.7847,0.7993
CV - SVR - Mean MAE,16681,15868,16811,15273
CV - SVR - Mean MAPE,0.19768797212816108,0.19345484892656378,0.20258656426943342,0.1881413189380453
CV - SVR - Mean RMSE,24798,23226,24165,22548
CV - SVR - Mean R2Score,0.6288,0.6755,0.6491,0.6939
CV - KNN - Mean MAE,14695,13958,13560,13056
CV - KNN - Mean MAPE,0.18598782133857508,0.17698564498638408,0.17275086396967695,0.16718687901739743
CV - KNN - Mean RMSE,21266,20341,19979,19291
CV - KNN - Mean R2Score,0.7275,0.75,0.7597,0.7761
CV - AdaBoost - Mean MAE,21660,21736,21180,21473
CV - AdaBoost - Mean MAPE,0.29843134703001895,0.30900414458760195,0.2814647435818412,0.29703347688563575
CV - AdaBoost - Mean RMSE,27907,27574,27730,27589
CV - AdaBoost - Mean R2Score,0.5321,0.5434,0.5379,0.5424
final-model,"RandomForestRegressor(criterion='absolute_error', max_depth=15, max_features=6,
                      min_samples_split=9, n_estimators=78)","RandomForestRegressor(max_depth=20, max_features=4, min_samples_split=10,
                      n_estimators=95)","RandomForestRegressor(max_features=15, min_samples_split=3, n_estimators=168)","RandomForestRegressor(criterion='poisson', max_features=15, min_samples_split=7,
                      n_estimators=187)"
Test-MAE,13131.23,13189.82,11934.88,11655.73
Test-MAPE,0.1696,0.1771,0.1581,0.1575
Test-RMSE,18687.21,18038.73,17073.41,16355.82
Test-N-RMSE,0.0881,0.0851,0.0805,0.0772
Test-IQR-RMSE,0.3573,0.3449,0.3264,0.3127
Test-CV-RMSE,0.2076,0.2004,0.1897,0.1817
Test-R2,0.7606,0.7769,0.8002,0.8166
Training-Duration,356.747,739.343,849.59,1670.463
Test-Duration,1.72473e-05,2.046e-05,4.82451e-05,4.55227e-05
