,basic-subset,location,extension,location-extension
Test-MAE,17488.44,16205.81,16113.99,15942.54
Test-MAPE,0.1823,0.1671,0.1701,0.1707
Test-RMSE,35005.29,34250.56,33364.52,33605.29
Test-N-RMSE,0.0636,0.0622,0.0606,0.061
Test-IQR-RMSE,0.5579,0.5458,0.5317,0.5355
Test-CV-RMSE,0.3571,0.3494,0.3404,0.3429
Test-R2,0.6044,0.6212,0.6406,0.6354
Training-Duration,60.446,134.067,58.996,481.657
Test-Duration,0.0001543777,0.0004144303,0.0001583393,0.0003209457
