,basic-subset,location,extension,location-extension
CV - LinReg - Mean MAE,19702,22106,20520,1362362648445
CV - LinReg - Mean MAPE,200.49721970793547,229.00589664224063,207.9083105865829,19385562.65428311
CV - LinReg - Mean RMSE,39830,41616,40511,22051765619941
CV - LinReg - Mean R2Score,0.5343,0.4918,0.5195,-8.28008899330144e+17
CV - Tree - Mean MAE,23659,21399,22825,20915
CV - Tree - Mean MAPE,199.82703203219256,172.7788653360969,224.68923224964402,242.91685694296757
CV - Tree - Mean RMSE,49597,46851,52835,44619
CV - Tree - Mean R2Score,0.2554,0.3263,0.0943,0.4025
CV - RandForest - Mean MAE,19726,18391,19322,18491
CV - RandForest - Mean MAPE,232.9456018796709,186.67775108563725,187.94092525682603,189.3012858594624
CV - RandForest - Mean RMSE,42640,41386,43588,41714
CV - RandForest - Mean R2Score,0.4668,0.488,0.4248,0.478
CV - SVR - Mean MAE,25845,27984,26893,26799
CV - SVR - Mean MAPE,193.96347857767597,193.28604210405496,190.3716649902463,195.7879985563572
CV - SVR - Mean RMSE,47641,50904,49883,49815
CV - SVR - Mean R2Score,0.3276,0.2262,0.2571,0.2641
CV - KNN - Mean MAE,21186,19957,19675,19299
CV - KNN - Mean MAPE,175.9912377966719,168.9134949014759,178.4904290366597,176.1351587283171
CV - KNN - Mean RMSE,46218,44200,43807,42282
CV - KNN - Mean R2Score,0.3615,0.4053,0.4306,0.4655
CV - AdaBoost - Mean MAE,34994,30236,34501,31199
CV - AdaBoost - Mean MAPE,237.25254042537762,216.28712642254533,244.24536690724736,212.1203589473984
CV - AdaBoost - Mean RMSE,55389,49086,54026,48756
CV - AdaBoost - Mean R2Score,0.057,0.274,0.1108,0.2962
final-model,"KNeighborsRegressor(n_neighbors=10, p=1)","KNeighborsRegressor(n_neighbors=8, p=3)","KNeighborsRegressor(n_neighbors=10, p=1)","KNeighborsRegressor(n_neighbors=10, p=3)"
Test-MAE,18549.37,18262.42,16650.14,16006.47
Test-MAPE,0.1878,0.1902,0.1754,0.1689
Test-RMSE,36281.27,36750.9,34177.79,33374.85
Test-N-RMSE,0.0659,0.0668,0.0621,0.0606
Test-IQR-RMSE,0.5782,0.5857,0.5447,0.5319
Test-CV-RMSE,0.3702,0.375,0.3487,0.3405
Test-R2,0.575,0.5639,0.6228,0.6404
Training-Duration,32.337,40.087,32.588,51.673
Test-Duration,1.00748e-05,0.0001435794,2.5314e-05,0.0001777264
