,basic-subset,location,extension,location-extension
Test-MAE,19840.12,21189.73,17840.41,17749.77
Test-MAPE,0.1931,0.2145,0.1856,0.1974
Test-RMSE,37537.54,39582.51,33204.47,32016.5
Test-N-RMSE,0.0682,0.0719,0.0603,0.0582
Test-IQR-RMSE,0.5982,0.6308,0.5292,0.5102
Test-CV-RMSE,0.383,0.4038,0.3388,0.3267
Test-R2,0.545,0.4941,0.644,0.669
Training-Duration,69.812,65.306,65.443,65.95
Test-Duration,0.0014379122,0.0015875175,0.001589664,0.0017187114
