,location-extension
Test-MAE,16560.89
Test-MAPE,0.193
Test-RMSE,24058.79
Test-N-RMSE,0.113
Test-IQR-RMSE,0.4774
Test-CV-RMSE,0.2657
Test-R2,0.6171
Training-Duration,63.706
Test-Duration,0.0018633727
