,basic-subset,extension,location,extension-location
Test-MAE,14154.15,13534.51,13893.88,13579.89
Test-MAPE,0.1666,0.1586,0.1672,0.1614
Test-RMSE,21052.21,19820.75,20784.97,20366.57
Test-N-RMSE,0.0924,0.087,0.0912,0.0894
Test-IQR-RMSE,0.3766,0.3546,0.3719,0.3644
Test-CV-RMSE,0.2313,0.2178,0.2284,0.2238
Test-R2,0.7178,0.7498,0.7249,0.7359
Training-Duration,1862.85,2075.171,1936.027,1927.343
Test-Duration,0.0006702132,0.0004217709,0.0013862087,0.0009118953
