,basic-subset,extension,location,extension-location
Test-MAE,17072.61,16171.99,17152.01,15486.47
Test-MAPE,0.1876,0.1791,0.2001,0.1704
Test-RMSE,25151.45,24378.93,26631.25,22812.52
Test-N-RMSE,0.1104,0.107,0.1169,0.1001
Test-IQR-RMSE,0.45,0.4362,0.4765,0.4081
Test-CV-RMSE,0.2764,0.2679,0.2926,0.2507
Test-R2,0.5972,0.6215,0.5484,0.6686
Training-Duration,63.934,64.111,64.152,64.623
Test-Duration,0.0014907578,0.0016674268,0.0016797392,0.0018055862
