,basic-subset,extension,location,extension-location
CV - LinReg - Mean MAE,15116,15875,16908,2864983637459
CV - LinReg - Mean MAPE,0.1922439248482597,0.2080923825363817,0.22390317457449652,54724948.1715634
CV - LinReg - Mean RMSE,21597,22068,22898,33545180136431
CV - LinReg - Mean R2Score,0.7165,0.7035,0.6808,-7.547365711574989e+18
CV - Tree - Mean MAE,16153,15521,15283,14792
CV - Tree - Mean MAPE,0.20408584654517253,0.19554349635442045,0.19062164905133244,0.18770084545181115
CV - Tree - Mean RMSE,23830,23208,23081,22703
CV - Tree - Mean R2Score,0.652,0.6711,0.6743,0.6857
CV - RandForest - Mean MAE,14078,13224,12616,11906
CV - RandForest - Mean MAPE,0.17872384672645666,0.17128075765076958,0.16301923355898798,0.15721677391505848
CV - RandForest - Mean RMSE,20505,19432,19118,18050
CV - RandForest - Mean R2Score,0.7436,0.7705,0.7776,0.8015
CV - SVR - Mean MAE,16581,15648,16764,15528
CV - SVR - Mean MAPE,0.2003825583719038,0.19264573136990312,0.20472827949895428,0.19373226785002773
CV - SVR - Mean RMSE,24408,22950,24114,22881
CV - SVR - Mean R2Score,0.6389,0.681,0.6473,0.6821
CV - KNN - Mean MAE,14495,13761,13241,12708
CV - KNN - Mean MAPE,0.18619086733221688,0.17892885644271345,0.1708403199460748,0.1661522122953381
CV - KNN - Mean RMSE,21024,20231,19842,18925
CV - KNN - Mean R2Score,0.7309,0.7511,0.7594,0.782
CV - AdaBoost - Mean MAE,21362,21170,21364,20841
CV - AdaBoost - Mean MAPE,0.2846421148839998,0.29091550851107034,0.29973133307442434,0.27720455353205137
CV - AdaBoost - Mean RMSE,28308,27528,27404,27461
CV - AdaBoost - Mean R2Score,0.5147,0.5413,0.5457,0.5422
final-model,"RandomForestRegressor(criterion='absolute_error', max_depth=15, max_features=6,
                      min_samples_split=9, n_estimators=78)","RandomForestRegressor(criterion='absolute_error', max_depth=20, max_features=8,
                      min_samples_split=10, n_estimators=76)","RandomForestRegressor(criterion='poisson', max_features=30, min_samples_split=4,
                      n_estimators=69)","RandomForestRegressor(max_depth=20, max_features=21, min_samples_split=6,
                      n_estimators=104)"
Test-MAE,13707.33,13243.93,13850.52,13214.09
Test-MAPE,0.1573,0.1498,0.1634,0.1542
Test-RMSE,20006.63,19462.42,20238.75,19152.52
Test-N-RMSE,0.0878,0.0854,0.0888,0.0841
Test-IQR-RMSE,0.3579,0.3482,0.3621,0.3427
Test-CV-RMSE,0.2198,0.2138,0.2224,0.2104
Test-R2,0.7451,0.7588,0.7392,0.7664
Training-Duration,351.164,752.711,818.753,1632.2
Test-Duration,1.68491e-05,1.64686e-05,1.94446e-05,2.56934e-05
