feature_name,feature_importance_vals,feature_importance_percentage
const_year,7592.627946427136,0.3631634210855266
extension,7044.404403358408,0.33694130947604684
model,4677.048351322127,0.22370816689995257
location,923.2236025672814,0.044158760879757286
working_hours,379.7524789788248,0.018163962517952287
L,164.3685057098801,0.007861919387266375
N,41.56240135248999,0.0019879735936228437
LR,31.50345809649607,0.0015068437040605676
3B,21.56254988315265,0.0010313595553668538
XE,21.120489987675867,0.0010102153632506573
GC,9.744035886836425,0.0004660675371969011
SA,0.0,0.0
VA,0.0,0.0
LGP,0.0,0.0
XL,0.0,0.0
RR,0.0,0.0
4F,0.0,0.0
