,basic-subset,extension,location,extension-location
CV - LinReg - Mean MAE,16616,17696,19231,17283
CV - LinReg - Mean MAPE,0.23530209023438275,0.2555177056453077,0.27754826178679926,0.2546857613061199
CV - LinReg - Mean RMSE,24611,26088,27320,25153
CV - LinReg - Mean R2Score,0.7223,0.6903,0.6609,0.7122
CV - Tree - Mean MAE,18018,17585,16940,17002
CV - Tree - Mean MAPE,0.2556570501072012,0.253644985055456,0.24091288949810816,0.24212584967455117
CV - Tree - Mean RMSE,27531,26566,25994,26444
CV - Tree - Mean R2Score,0.6493,0.6747,0.6901,0.6783
CV - RandForest - Mean MAE,15603,14379,14008,13269
CV - RandForest - Mean MAPE,0.22838818246386836,0.21501953373966715,0.21075702060962048,0.20270737199483063
CV - RandForest - Mean RMSE,24062,22098,21737,20669
CV - RandForest - Mean R2Score,0.7349,0.7766,0.7837,0.805
CV - SVR - Mean MAE,18946,17479,18688,17074
CV - SVR - Mean MAPE,0.24577482991004987,0.23336121885148925,0.2447415157607839,0.22996157496084538
CV - SVR - Mean RMSE,29619,27525,29175,27440
CV - SVR - Mean R2Score,0.6026,0.6566,0.6146,0.6584
CV - KNN - Mean MAE,15944,14944,14774,14170
CV - KNN - Mean MAPE,0.23357985509585782,0.2256330280972636,0.22013456825519734,0.21494803597290496
CV - KNN - Mean RMSE,24387,22712,23091,21974
CV - KNN - Mean R2Score,0.7278,0.7644,0.7569,0.7788
CV - AdaBoost - Mean MAE,23111,23810,23180,23352
CV - AdaBoost - Mean MAPE,0.34151892360715774,0.35516313706684705,0.34971289573352504,0.35638828390819094
CV - AdaBoost - Mean RMSE,31702,32346,31200,31272
CV - AdaBoost - Mean R2Score,0.5436,0.5241,0.5546,0.5544
final-model,"RandomForestRegressor(criterion='absolute_error', max_depth=10, max_features=10,
                      min_samples_split=5, n_estimators=197)","RandomForestRegressor(criterion='absolute_error', max_depth=20, max_features=13,
                      min_samples_split=6, n_estimators=81)","RandomForestRegressor(max_features=15, min_samples_split=3, n_estimators=168)","RandomForestRegressor(bootstrap=False, criterion='poisson', max_features=18,
                      min_samples_split=9, n_estimators=122)"
Test-MAE,14042.12,13336.43,12522.41,11901.04
Test-MAPE,0.1663,0.1601,0.1533,0.1474
Test-RMSE,21252.09,19689.5,18593.9,17677.44
Test-N-RMSE,0.0802,0.0743,0.0701,0.0667
Test-IQR-RMSE,0.3444,0.3191,0.3014,0.2865
Test-CV-RMSE,0.2333,0.2161,0.2041,0.1941
Test-R2,0.7782,0.8096,0.8302,0.8466
Training-Duration,383.687,797.44,876.613,1172.71
Test-Duration,3.68811e-05,1.9289e-05,4.79082e-05,3.15483e-05
